res_id,age,age_group,tract_id,tract_name,median_income,income_category,income_eligibility_status,interior_condition,exterior_condition,grade,has_poor_conditions,overall_condition,open_violations,total_violations,has_violations,violation_category,has_building_match,residency_stability,nearest_store_distance,store_accessibility,nearest_park_distance_meters,park_accessibility,eligibility_score,priority_level,tenure_status
01KDD1257000,68,62-69,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Average,Average,Average,False,Good,1,2,True,1-2 Violations,True,5+ Years (Matched),80.09,Excellent (≤500m),163.39046252,Excellent (≤300m),50,High,Renter
09LMA0755000,70,70-79,25025000703.0,Census Tract 7.03; Suffolk County; Massachusetts,46985.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),114.69,Excellent (≤500m),83.07596867,Excellent (≤300m),45,High,Homeowner
05GTI2452001,73,70-79,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Fair,Average,Good,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),134.73,Excellent (≤500m),236.03546045,Excellent (≤300m),45,High,Homeowner
04JJE1756000,69,62-69,25025000603.0,Census Tract 6.03; Suffolk County; Massachusetts,33229.0,Low Income,Eligible,Fair,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),208.52,Excellent (≤500m),203.18937278,Excellent (≤300m),45,High,Homeowner
08SFK1336000,89,80-89,25025000703.0,Census Tract 7.03; Suffolk County; Massachusetts,46985.0,Low Income,Eligible,Fair,Average,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),101.57,Excellent (≤500m),98.32808906,Excellent (≤300m),45,High,Homeowner
02NRT0445000,80,80-89,25025000603.0,Census Tract 6.03; Suffolk County; Massachusetts,33229.0,Low Income,Eligible,Fair,Average,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),340.57,Excellent (≤500m),264.61070425,Excellent (≤300m),45,High,Homeowner
04EBR2759000,66,62-69,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Fair,Average,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),186.31,Excellent (≤500m),14.70137616,Excellent (≤300m),45,High,Renter
01JRA1057000,68,62-69,25025000703.0,Census Tract 7.03; Suffolk County; Massachusetts,46985.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),114.69,Excellent (≤500m),83.07596867,Excellent (≤300m),45,High,Homeowner
06GCS1861001,64,62-69,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Fair,Average,Average,True,Fair,0,3,False,No Violations,True,5+ Years (Matched),229.99,Excellent (≤500m),21.29382569,Excellent (≤300m),45,High,Renter
03ABE2233000,92,90+,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),267.62,Excellent (≤500m),236.21534539,Excellent (≤300m),45,High,Homeowner
07BRD1840004,85,80-89,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Fair,Average,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),267.02,Excellent (≤500m),298.75636864,Excellent (≤300m),45,High,Homeowner
12FCA3042000,82,80-89,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Fair,Average,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),141.33,Excellent (≤500m),200.48641383,Excellent (≤300m),45,High,Homeowner
05HNN0951000,74,70-79,25025000703.0,Census Tract 7.03; Suffolk County; Massachusetts,46985.0,Low Income,Eligible,Fair,Average,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),101.57,Excellent (≤500m),98.32808906,Excellent (≤300m),45,High,Homeowner
07DFK1364002,71,70-79,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),276.33,Excellent (≤500m),99.10355574,Excellent (≤300m),45,High,Homeowner
04GTS0557000,68,62-69,25025000603.0,Census Tract 6.03; Suffolk County; Massachusetts,33229.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),438.5,Excellent (≤500m),65.18748983,Excellent (≤300m),45,High,Homeowner
12RSL3149000,75,70-79,25025000506.0,Census Tract 5.06; Suffolk County; Massachusetts,73403.0,Moderate Income,Potentially Eligible,Good,Average,Good,False,Good,1,1,True,1-2 Violations,True,5+ Years (Matched),297.96,Excellent (≤500m),63.01699571,Excellent (≤300m),40,Medium,Homeowner
03OFS2250000,75,70-79,25025000506.0,Census Tract 5.06; Suffolk County; Massachusetts,73403.0,Moderate Income,Potentially Eligible,Average,Average,Good,False,Good,1,1,True,1-2 Violations,True,5+ Years (Matched),561.54,Good (500-1000m),122.31178728,Excellent (≤300m),40,Medium,Renter
06MTS2148002,77,70-79,25025000506.0,Census Tract 5.06; Suffolk County; Massachusetts,73403.0,Moderate Income,Potentially Eligible,Fair,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),,No Store Data,52.92245639,Excellent (≤300m),40,Medium,Unknown
08WMY0947000,78,70-79,25025000506.0,Census Tract 5.06; Suffolk County; Massachusetts,73403.0,Moderate Income,Potentially Eligible,Average,Average,Good,False,Good,1,1,True,1-2 Violations,True,5+ Years (Matched),561.54,Good (500-1000m),122.31178728,Excellent (≤300m),40,Medium,Renter
09SGH2756001,69,62-69,25025000506.0,Census Tract 5.06; Suffolk County; Massachusetts,73403.0,Moderate Income,Potentially Eligible,Fair,Average,Good,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),376.06,Excellent (≤500m),125.75739182,Excellent (≤300m),35,Medium,Homeowner
08PBN2363000,62,62-69,25025000506.0,Census Tract 5.06; Suffolk County; Massachusetts,73403.0,Moderate Income,Potentially Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),368.96,Excellent (≤500m),64.51160231,Excellent (≤300m),35,Medium,Homeowner
07CPE2435000,90,90+,25025000805.0,Census Tract 8.05; Suffolk County; Massachusetts,53824.0,Moderate Income,Potentially Eligible,Fair,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),263.43,Excellent (≤500m),361.85949799,Good (300-600m),35,Medium,Homeowner
10GML1463000,62,62-69,25025000805.0,Census Tract 8.05; Suffolk County; Massachusetts,53824.0,Moderate Income,Potentially Eligible,Fair,Average,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),178.85,Excellent (≤500m),408.83416099,Good (300-600m),35,Medium,Homeowner
03PCR2154001,71,70-79,25025000805.0,Census Tract 8.05; Suffolk County; Massachusetts,53824.0,Moderate Income,Potentially Eligible,Fair,Fair,Average,True,Fair,0,1,False,No Violations,True,5+ Years (Matched),317.79,Excellent (≤500m),397.37809546,Good (300-600m),35,Medium,Homeowner
01CRE1357000,68,62-69,25025000506.0,Census Tract 5.06; Suffolk County; Massachusetts,73403.0,Moderate Income,Potentially Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),257.38,Excellent (≤500m),247.58620496,Excellent (≤300m),35,Medium,Homeowner
01LPR1862002,63,62-69,25025000506.0,Census Tract 5.06; Suffolk County; Massachusetts,73403.0,Moderate Income,Potentially Eligible,Fair,Average,Good,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),202.96,Excellent (≤500m),275.27892068,Excellent (≤300m),35,Medium,Renter
09SSD2657000,68,62-69,25025000805.0,Census Tract 8.05; Suffolk County; Massachusetts,53824.0,Moderate Income,Potentially Eligible,Fair,Fair,Average,True,Fair,0,1,False,No Violations,True,5+ Years (Matched),317.79,Excellent (≤500m),397.37809546,Good (300-600m),35,Medium,Homeowner
08GIE0552001,73,70-79,25025000805.0,Census Tract 8.05; Suffolk County; Massachusetts,53824.0,Moderate Income,Potentially Eligible,Fair,Fair,Average,True,Fair,0,1,False,No Violations,True,5+ Years (Matched),317.79,Excellent (≤500m),397.37809546,Good (300-600m),35,Medium,Homeowner
08SWQ1552000,73,70-79,25025000506.0,Census Tract 5.06; Suffolk County; Massachusetts,73403.0,Moderate Income,Potentially Eligible,Fair,Average,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),319.72,Excellent (≤500m),315.19346228,Good (300-600m),35,Medium,Renter
12CPR2151000,73,70-79,25025000506.0,Census Tract 5.06; Suffolk County; Massachusetts,73403.0,Moderate Income,Potentially Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),257.38,Excellent (≤500m),247.58620496,Excellent (≤300m),35,Medium,Homeowner
05CKN1550000,75,70-79,25025000506.0,Census Tract 5.06; Suffolk County; Massachusetts,73403.0,Moderate Income,Potentially Eligible,Fair,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),202.04,Excellent (≤500m),14.89924748,Excellent (≤300m),35,Medium,Homeowner
12STY3051001,73,70-79,25025000506.0,Census Tract 5.06; Suffolk County; Massachusetts,73403.0,Moderate Income,Potentially Eligible,Fair,Average,Good,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),376.06,Excellent (≤500m),125.75739182,Excellent (≤300m),35,Medium,Homeowner
11SRA2050000,74,70-79,25025000805.0,Census Tract 8.05; Suffolk County; Massachusetts,53824.0,Moderate Income,Potentially Eligible,Fair,Fair,Average,True,Fair,0,1,False,No Violations,True,5+ Years (Matched),317.79,Excellent (≤500m),397.37809546,Good (300-600m),35,Medium,Homeowner
06BJY2758000,67,62-69,25025000301.0,Census Tract 3.01; Suffolk County; Massachusetts,131206.0,Higher Income,Not Eligible,Unknown,Unknown,Unknown,False,Good,1,4,True,1-2 Violations,True,5+ Years (Matched),,No Store Data,30.05895356,Excellent (≤300m),30,Medium,Unknown
07LWI2257001,68,62-69,25025000301.0,Census Tract 3.01; Suffolk County; Massachusetts,131206.0,Higher Income,Not Eligible,Unknown,Unknown,Unknown,False,Good,1,4,True,1-2 Violations,True,5+ Years (Matched),,No Store Data,30.05895356,Excellent (≤300m),30,Medium,Unknown
01LCI1948001,77,70-79,25025000301.0,Census Tract 3.01; Suffolk County; Massachusetts,131206.0,Higher Income,Not Eligible,Unknown,Unknown,Unknown,False,Good,1,4,True,1-2 Violations,True,5+ Years (Matched),,No Store Data,30.05895356,Excellent (≤300m),30,Medium,Unknown
02SED1560001,65,62-69,25025000601.0,Census Tract 6.01; Suffolk County; Massachusetts,97877.0,Higher Income,Not Eligible,Poor,Fair,Average,True,Poor,0,0,False,No Violations,True,5+ Years (Matched),383.57,Excellent (≤500m),161.98916605,Excellent (≤300m),30,Medium,Renter
05CPR2762000,63,62-69,25025000505.0,Census Tract 5.05; Suffolk County; Massachusetts,80556.0,Higher Income,Not Eligible,Average,Average,Average,False,Good,1,1,True,1-2 Violations,True,5+ Years (Matched),,No Store Data,55.27593623,Excellent (≤300m),30,Medium,Unknown
07BCE0476108,63,62-69,25025000505.0,Census Tract 5.05; Suffolk County; Massachusetts,80556.0,Higher Income,Not Eligible,Average,Average,Average,False,Good,1,1,True,1-2 Violations,True,5+ Years (Matched),,No Store Data,55.27593623,Excellent (≤300m),30,Medium,Unknown
09SBA0854001,71,70-79,25025000601.0,Census Tract 6.01; Suffolk County; Massachusetts,97877.0,Higher Income,Not Eligible,Poor,Fair,Average,True,Poor,0,0,False,No Violations,True,5+ Years (Matched),383.57,Excellent (≤500m),161.98916605,Excellent (≤300m),30,Medium,Renter
12VJH2158001,66,62-69,25025000202.0,Census Tract 2.02; Suffolk County; Massachusetts,88625.0,Higher Income,Not Eligible,Poor,Average,Average,True,Poor,0,0,False,No Violations,True,5+ Years (Matched),233.92,Excellent (≤500m),193.61156796,Excellent (≤300m),30,Medium,Renter
12YXA0353000,71,70-79,25025000502.0,Census Tract 5.02; Suffolk County; Massachusetts,82125.0,Higher Income,Not Eligible,Unknown,Unknown,Unknown,False,Good,1,4,True,1-2 Violations,True,5+ Years (Matched),377.55,Excellent (≤500m),410.87848977,Good (300-600m),25,Medium,Renter
02GFA0734000,91,90+,25025000502.0,Census Tract 5.02; Suffolk County; Massachusetts,82125.0,Higher Income,Not Eligible,Unknown,Unknown,Unknown,False,Good,1,4,True,1-2 Violations,True,5+ Years (Matched),385.04,Excellent (≤500m),421.08582718,Good (300-600m),25,Medium,Renter
08MJE0532001,93,90+,,,,,,Fair,Average,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),,No Store Data,105.04667549,Excellent (≤300m),25,Medium,Homeowner
01SCA0829000,96,90+,25025000505.0,Census Tract 5.05; Suffolk County; Massachusetts,80556.0,Higher Income,Not Eligible,Average,Average,Fair,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),,No Store Data,206.68782712,Excellent (≤300m),25,Medium,Unknown
