res_id,age,ward_id,precinct_id,median_income,income_category,has_financial_barrier,interior_condition,exterior_condition,grade,building_age,has_condition_barrier,open_violations,total_violations,violation_severity,has_violation_barrier,store_accessibility,has_store_accessibility_barrier,park_accessibility,has_park_accessibility_barrier,barrier_count,has_any_barrier,has_multiple_barriers,barrier_severity
01ASK0132000,88,21,9,46985.00,Low Income (<$50k),True,Unknown,Unknown,Unknown,60.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01ASU0150000,81,22,11,75366.00,Higher Income ($75k+),False,Average,Average,Average,95.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01AVA2850000,75,22,3,111705.00,Higher Income ($75k+),False,Average,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01AWM0142001,83,22,1,45000.00,Low Income (<$50k),True,Average,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01BAA0160542,66,21,7,131206.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,105.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01BAA2651000,74,21,13,151466.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,26.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BAL0160066,67,21,7,131206.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,95.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01BAN0553002,72,21,14,93326.00,Higher Income ($75k+),False,Average,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BAO0857000,68,21,7,131206.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,115.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01BAR0160020,74,22,11,75366.00,Higher Income ($75k+),False,Good,Average,Average,88.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BAY0142002,83,21,13,80556.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,3.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01BAY0143001,82,22,10,111705.00,Higher Income ($75k+),False,Average,Average,Average,135.00,False,0,0,No Violations,False,Excellent (≤500m),False,Good (300-600m),False,0,False,False,No Barriers
01BBA1237000,88,22,1,89479.00,Higher Income ($75k+),False,Average,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BBA1456000,69,22,7,82125.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,105.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BBD0137000,88,22,7,82125.00,Higher Income ($75k+),False,Good,Average,Average,75.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BBS1147000,78,22,4,82125.00,Higher Income ($75k+),False,Average,Average,Average,100.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BCA0938001,87,22,7,92560.00,Higher Income ($75k+),False,Average,Average,Average,65.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BCE3159005,66,22,8,73403.00,Moderate Income ($50k-$75k),True,Average,Average,Average,195.00,False,0,1,No Violations,False,Good (500-1000m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01BDD0160404,74,21,3,116793.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,115.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01BED0142000,84,21,9,46985.00,Low Income (<$50k),True,Unknown,Unknown,Unknown,60.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01BED2645000,80,21,16,114271.00,Higher Income ($75k+),False,,,,,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BEH0859000,66,22,13,82125.00,Higher Income ($75k+),False,Average,Average,Average,116.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BGY0160149,73,21,10,60060.00,Moderate Income ($50k-$75k),True,Unknown,Unknown,Unknown,23.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01BHY0557002,68,22,7,82125.00,Higher Income ($75k+),False,Good,Average,Average,90.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BIA0160036,93,21,10,81853.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,62.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BIA0656000,69,22,3,88625.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,105.00,False,0,2,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BJE0162022,63,22,3,88625.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BJN2936003,89,21,6,88625.00,Higher Income ($75k+),False,Average,Average,Average,145.00,False,0,0,No Violations,False,Excellent (≤500m),False,Good (300-600m),False,0,False,False,No Barriers
01BJS1662001,63,21,6,46985.00,Low Income (<$50k),True,Average,Average,Good,105.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01BJT2550000,75,22,4,92560.00,Higher Income ($75k+),False,Average,Average,Average,105.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BJY0653003,72,22,11,75366.00,Higher Income ($75k+),False,Average,Average,Average,135.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BLA2752001,73,22,11,75366.00,Higher Income ($75k+),False,Good,Average,Average,88.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BLN0759000,66,21,13,80556.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,3.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01BLN1556000,69,22,2,45000.00,Low Income (<$50k),True,Unknown,Unknown,Unknown,115.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01BMA1053001,72,22,3,111705.00,Higher Income ($75k+),False,Average,Average,Average,105.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BMA2134002,91,21,12,93326.00,Higher Income ($75k+),False,,,,,False,0,1,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01BMA2445000,80,21,8,79000.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,26.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BME0550000,75,21,9,79000.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,26.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BME2261000,64,21,10,60060.00,Moderate Income ($50k-$75k),True,,,,,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01BML0100106,97,21,9,46985.00,Low Income (<$50k),True,Unknown,Unknown,Unknown,60.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01BML1655000,70,22,11,111705.00,Higher Income ($75k+),False,Average,Average,Average,95.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BMN0155001,70,21,1,0,Low Income (<$50k),True,Unknown,Unknown,Unknown,105.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01BNY0949001,76,21,14,93326.00,Higher Income ($75k+),False,Average,Average,Good,120.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BNY3148000,77,22,1,45000.00,Low Income (<$50k),True,Average,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01BOA0724000,101,21,13,80556.00,Higher Income ($75k+),False,,,,,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01BPA0149011,76,21,12,93326.00,Higher Income ($75k+),False,,,,,False,0,1,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01BRT2446000,79,22,6,88625.00,Higher Income ($75k+),False,Average,Average,Average,100.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BSE0132000,93,21,8,79000.00,Higher Income ($75k+),False,Average,Average,Good,111.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BSL0361000,64,22,9,73403.00,Moderate Income ($50k-$75k),True,Average,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01BSN2559002,66,22,1,89479.00,Higher Income ($75k+),False,Average,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BSY0349000,76,22,4,92560.00,Higher Income ($75k+),False,Average,Average,Average,96.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01BUN2841000,84,22,6,88625.00,Higher Income ($75k+),False,Average,Average,Average,115.00,False,0,0,No Violations,False,Excellent (≤500m),False,Good (300-600m),False,0,False,False,No Barriers
01BVA0762000,63,22,12,111705.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,75.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BWM0146008,79,22,11,75366.00,Higher Income ($75k+),False,Average,Average,Average,97.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BWM0460000,65,22,7,75366.00,Higher Income ($75k+),False,Good,Average,Average,41.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01BWY0847001,78,22,6,88625.00,Higher Income ($75k+),False,Good,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Good (300-600m),False,0,False,False,No Barriers
01CAD1341000,84,21,15,151466.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,95.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CAO0738000,87,22,13,82125.00,Higher Income ($75k+),False,Average,Average,Average,100.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CBA0160043,77,21,8,79000.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,95.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CBY0549000,76,21,10,81853.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,62.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CCA1941001,84,21,12,93326.00,Higher Income ($75k+),False,,,,,False,0,1,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01CCY1562002,63,22,4,82125.00,Higher Income ($75k+),False,Good,Average,Average,140.00,False,0,0,No Violations,False,Excellent (≤500m),False,Good (300-600m),False,0,False,False,No Barriers
01CDD2559004,66,21,9,81853.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,126.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CDG0118001,83,21,12,0,Low Income (<$50k),True,,,,,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CDU0756000,69,21,10,60060.00,Moderate Income ($50k-$75k),True,Unknown,Unknown,Unknown,23.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CED0140001,88,22,12,111705.00,Higher Income ($75k+),False,Average,Average,Average,95.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CEE0142001,83,21,10,81853.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,62.00,False,0,1,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CEH0141004,76,21,13,151466.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,26.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01CFC0955001,70,21,8,79000.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,26.00,False,0,1,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CFG0526001,99,21,10,60060.00,Moderate Income ($50k-$75k),True,Unknown,Unknown,Unknown,23.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CFG2550000,75,21,13,80556.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,3.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01CGD0163001,62,21,11,80556.00,Higher Income ($75k+),False,Average,Average,Average,90.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CGY0144000,81,21,15,151466.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,95.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CJG0160048,86,21,13,80556.00,Higher Income ($75k+),False,,,,,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01CJH2639000,86,21,6,88625.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,126.00,False,0,0,No Violations,False,Excellent (≤500m),False,Good (300-600m),False,0,False,False,No Barriers
01CJH3052001,73,22,12,111705.00,Higher Income ($75k+),False,Good,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CJN0160200,62,21,13,73403.00,Moderate Income ($50k-$75k),True,Good,Good,Average,125.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CJN1157007,68,21,13,80556.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,3.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01CJN2056001,69,21,10,81853.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CJN3053002,72,22,10,92560.00,Higher Income ($75k+),False,Average,Average,Average,95.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CKE2759000,66,21,11,80556.00,Higher Income ($75k+),False,Average,Average,Average,105.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CKM0155001,70,21,5,116793.00,Higher Income ($75k+),False,Average,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CKN1558001,67,22,1,0,Low Income (<$50k),True,Average,Average,Average,125.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CLA0150033,75,22,7,75366.00,Higher Income ($75k+),False,Average,Average,Average,95.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CLA0160279,78,21,13,80556.00,Higher Income ($75k+),False,,,,,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01CLN0148000,76,22,7,75366.00,Higher Income ($75k+),False,Average,Average,Average,95.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CLN0160311,72,21,13,80556.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,3.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01CLS0657002,68,21,9,46985.00,Low Income (<$50k),True,Unknown,Unknown,Unknown,60.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CLY0100014,62,22,7,82125.00,Higher Income ($75k+),False,Average,Average,Average,85.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CMA1460002,65,21,1,0,Low Income (<$50k),True,Unknown,Unknown,Unknown,36.00,False,0,0,No Violations,False,Good (500-1000m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CMD0758001,67,22,1,45000.00,Low Income (<$50k),True,Unknown,Unknown,Unknown,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Good (300-600m),False,1,True,False,Low (1 barrier)
01CMD2547000,78,21,10,81853.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CME0157007,68,21,12,0,Low Income (<$50k),True,,,,,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CME0249001,76,21,16,114271.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,88.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01CME0358001,67,22,1,45000.00,Low Income (<$50k),True,Good,Average,Average,115.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CME0453002,72,21,13,80556.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,7.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01CME0660004,65,22,11,75366.00,Higher Income ($75k+),False,Average,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CMO1063000,62,22,11,75366.00,Higher Income ($75k+),False,Average,Fair,Average,105.00,True,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CMO1948001,77,22,6,88625.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,105.00,False,0,1,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CMY1537000,88,21,11,0,Low Income (<$50k),True,Average,Average,Average,105.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CNY2358001,67,21,10,60060.00,Moderate Income ($50k-$75k),True,Unknown,Unknown,Unknown,23.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CPA0126005,100,21,16,114271.00,Higher Income ($75k+),False,Average,Average,Good,92.00,False,0,0,No Violations,False,Good (500-1000m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CPA1253000,72,22,1,45000.00,Low Income (<$50k),True,Good,Average,Average,90.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CPA2656001,69,22,5,33229.00,Low Income (<$50k),True,Good,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CPL0861001,64,22,10,75366.00,Higher Income ($75k+),False,Average,Average,Average,95.00,False,0,0,No Violations,False,Excellent (≤500m),False,Good (300-600m),False,0,False,False,No Barriers
01CRA0160060,67,21,7,46985.00,Low Income (<$50k),True,Unknown,Unknown,Unknown,105.00,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CRA1348000,77,21,11,80556.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,26.00,False,0,2,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01CRA2730000,95,22,10,111705.00,Higher Income ($75k+),False,Average,Good,Average,73.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CRE1357000,68,22,9,73403.00,Moderate Income ($50k-$75k),True,Average,Fair,Average,105.00,True,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,2,True,True,Medium (2 barriers)
01CSE0463000,62,22,3,111705.00,Higher Income ($75k+),False,Average,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CSG0349000,76,21,13,80556.00,Higher Income ($75k+),False,,,,,False,0,0,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01CSL0951000,74,22,9,73403.00,Moderate Income ($50k-$75k),True,Average,Average,Average,99.00,False,0,1,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CSN2858000,67,22,12,111705.00,Higher Income ($75k+),False,Average,Average,Average,90.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CSU0112002,66,22,1,45000.00,Low Income (<$50k),True,Good,Average,Average,41.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CTA1556001,69,21,12,93326.00,Higher Income ($75k+),False,,,,,False,0,1,No Violations,False,No Store Data,False,Excellent (≤300m),False,0,False,False,No Barriers
01CTS1957000,68,22,3,111705.00,Higher Income ($75k+),False,Average,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CVA2244000,81,22,1,45000.00,Low Income (<$50k),True,Average,Average,Average,135.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CWM1756000,69,22,1,45000.00,Low Income (<$50k),True,Average,Average,Average,125.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,1,True,False,Low (1 barrier)
01CWM2260001,65,21,9,81853.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,4.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CYG0234000,91,21,15,151466.00,Higher Income ($75k+),False,Unknown,Unknown,Unknown,32.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
01CYG0450000,75,21,13,80556.00,Higher Income ($75k+),False,Good,Average,Good,115.00,False,0,0,No Violations,False,Excellent (≤500m),False,Excellent (≤300m),False,0,False,False,No Barriers
