res_id,age,ward_id,precinct_id,owner_occ,tenure_status,property_value,value_category,has_building_match,residency_duration,age_group
01CMD2547000,78,21,10,N,Renter,7157407.00,High Value ($1M+),True,5+ Years,70-79
01CME0157007,68,21,12,,Unknown,,Unknown,True,5+ Years,62-69
01CME0249001,76,21,16,,Unknown,,Unknown,True,5+ Years,70-79
01CME0358001,67,22,1,Y,Homeowner,1260300.00,High Value ($1M+),True,5+ Years,62-69
01CME0453002,72,21,13,,Unknown,,Unknown,True,5+ Years,70-79
01CME0660004,65,22,11,Y,Homeowner,1033800.00,High Value ($1M+),True,5+ Years,62-69
01CMO1063000,62,22,11,Y,Homeowner,870300.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01CMO1948001,77,22,6,N,Renter,0.00,Low Value (<$500k),True,5+ Years,70-79
01CMY1537000,88,21,11,Y,Homeowner,1196200.00,High Value ($1M+),True,5+ Years,80-89
01CNY2358001,67,21,10,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01CPA0126005,100,21,16,Y,Homeowner,1337800.00,High Value ($1M+),True,5+ Years,90+
01CPA1253000,72,22,1,Y,Homeowner,1130900.00,High Value ($1M+),True,5+ Years,70-79
01CPA2656001,69,22,5,Y,Homeowner,1338900.00,High Value ($1M+),True,5+ Years,62-69
01CPL0861001,64,22,10,Y,Homeowner,1016300.00,High Value ($1M+),True,5+ Years,62-69
01CRA0160060,67,21,7,,Unknown,,Unknown,True,5+ Years,62-69
01CRA1348000,77,21,11,,Unknown,,Unknown,True,5+ Years,70-79
01CRA2730000,95,22,10,Y,Homeowner,738500.00,Moderate Value ($500k-$1M),True,5+ Years,90+
01CRE1357000,68,22,9,Y,Homeowner,1310300.00,High Value ($1M+),True,5+ Years,62-69
01CSE0463000,62,22,3,Y,Homeowner,1105700.00,High Value ($1M+),True,5+ Years,62-69
01CSG0349000,76,21,13,N,Renter,,Unknown,True,5+ Years,70-79
01CSL0951000,74,22,9,Y,Homeowner,807900.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01CSN2858000,67,22,12,Y,Homeowner,1084000.00,High Value ($1M+),True,5+ Years,62-69
01CSU0112002,66,22,1,Y,Homeowner,899000.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01CTA1556001,69,21,12,N,Renter,,Unknown,True,5+ Years,62-69
01CTS1957000,68,22,3,Y,Homeowner,1105700.00,High Value ($1M+),True,5+ Years,62-69
01CVA2244000,81,22,1,Y,Homeowner,1007500.00,High Value ($1M+),True,5+ Years,80-89
01CWM1756000,69,22,1,Y,Homeowner,716600.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01CWM2260001,65,21,9,N,Renter,79001700.00,High Value ($1M+),True,5+ Years,62-69
01CYG0234000,91,21,15,N,Renter,15726100.00,High Value ($1M+),True,5+ Years,90+
01CYG0450000,75,21,13,N,Renter,1275500.00,High Value ($1M+),True,5+ Years,70-79
01CYN2652000,73,21,13,,Unknown,,Unknown,True,5+ Years,70-79
01DAA0160321,82,22,10,Y,Homeowner,1107000.00,High Value ($1M+),True,5+ Years,80-89
01DAL0160051,67,21,8,N,Renter,2373100.00,High Value ($1M+),True,5+ Years,62-69
01DAO0155002,69,22,5,Y,Homeowner,870700.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01DBY0158001,67,21,9,N,Renter,9245098.00,High Value ($1M+),True,5+ Years,62-69
01DCN2662000,63,21,5,,Unknown,,Unknown,True,5+ Years,62-69
01DDD3054000,71,22,7,N,Renter,992900.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01DDK0160006,64,21,7,,Unknown,,Unknown,True,5+ Years,62-69
01DDL0163011,62,22,12,Y,Homeowner,1243300.00,High Value ($1M+),True,5+ Years,62-69
01DEE2857000,68,22,5,N,Renter,138162000.00,High Value ($1M+),True,5+ Years,62-69
01DEH2529000,96,22,13,N,Renter,2211398.00,High Value ($1M+),True,5+ Years,90+
01DEN0160111,66,22,7,Y,Homeowner,1100200.00,High Value ($1M+),True,5+ Years,62-69
01DJA0146000,79,21,5,N,Renter,5406216.00,High Value ($1M+),True,5+ Years,70-79
01DJA2847002,78,21,13,N,Renter,,Unknown,True,5+ Years,70-79
01DJE1153001,72,22,10,N,Renter,1219500.00,High Value ($1M+),True,5+ Years,70-79
01DMY1457002,68,22,6,N,Renter,2118700.00,High Value ($1M+),True,5+ Years,62-69
01DMY2850001,75,21,13,,Unknown,,Unknown,True,5+ Years,70-79
01DPA1760000,65,22,1,Y,Homeowner,919200.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01DRH0160093,78,21,7,,Unknown,,Unknown,True,5+ Years,70-79
01DSA0944001,81,21,11,N,Renter,5379000.00,High Value ($1M+),True,5+ Years,80-89
01DSI0560000,65,22,10,Y,Homeowner,931500.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01DSN1162002,63,22,4,,Unknown,,Unknown,True,5+ Years,62-69
01DTA1262000,63,22,10,Y,Homeowner,1064600.00,High Value ($1M+),True,5+ Years,62-69
01DTE0960000,65,21,12,,Unknown,,Unknown,True,5+ Years,62-69
01DTI0563000,62,21,1,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01DTS0161009,63,22,3,Y,Homeowner,1118700.00,High Value ($1M+),True,5+ Years,62-69
01DVO2858000,67,22,2,Y,Homeowner,1041500.00,High Value ($1M+),True,5+ Years,62-69
01DWM2731000,94,22,2,Y,Homeowner,897600.00,Moderate Value ($500k-$1M),True,5+ Years,90+
01DXR0113000,63,22,1,N,Renter,1028400.00,High Value ($1M+),True,5+ Years,62-69
01DZA2034002,91,21,13,N,Renter,,Unknown,True,5+ Years,90+
01EAL0149000,75,21,10,N,Renter,8269891.00,High Value ($1M+),True,5+ Years,70-79
01EBE0140000,84,22,9,Y,Homeowner,843800.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01EEA2458003,67,21,8,N,Renter,2747746.00,High Value ($1M+),True,5+ Years,62-69
01EEE0130001,75,22,3,N,Renter,21747200.00,High Value ($1M+),True,5+ Years,70-79
01EGD0148000,77,21,12,,Unknown,,Unknown,True,5+ Years,70-79
01EJN0160122,70,21,1,N,Renter,7398000.00,High Value ($1M+),True,5+ Years,70-79
01EJN2361000,64,22,13,N,Renter,985300.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01EJT2156000,69,22,3,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01EME2451000,74,21,10,N,Renter,,Unknown,True,5+ Years,70-79
01FAN0953000,72,22,7,Y,Homeowner,649500.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01FBE1363000,62,22,13,Y,Homeowner,1269700.00,High Value ($1M+),True,5+ Years,62-69
01FEN0151000,74,21,12,N,Renter,8237900.00,High Value ($1M+),True,5+ Years,70-79
01FEN0160063,62,22,8,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01FFE0424000,101,22,8,Y,Homeowner,943000.00,Moderate Value ($500k-$1M),True,5+ Years,90+
01FHY0158001,67,22,10,Y,Homeowner,968900.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01FJH3050000,75,21,16,,Unknown,,Unknown,True,5+ Years,70-79
01FJS1136000,89,21,9,,Unknown,,Unknown,True,5+ Years,80-89
01FJS2642000,83,22,5,Y,Homeowner,1091600.00,High Value ($1M+),True,5+ Years,80-89
01FLA0138001,87,21,12,,Unknown,,Unknown,True,5+ Years,80-89
01FLA0748000,77,22,11,Y,Homeowner,591200.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01FME3060000,65,22,1,Y,Homeowner,847800.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01FML0347000,78,22,8,Y,Homeowner,1086300.00,High Value ($1M+),True,5+ Years,70-79
01FMT3060000,65,22,1,Y,Homeowner,847800.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01FMY2251000,74,21,7,,Unknown,,Unknown,True,5+ Years,70-79
01FPL0944000,81,22,2,Y,Homeowner,912800.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01FTI2756000,69,22,4,,Unknown,,Unknown,True,5+ Years,62-69
01FVA1852001,73,21,13,,Unknown,,Unknown,True,5+ Years,70-79
01FVT0160010,63,22,12,Y,Homeowner,1190300.00,High Value ($1M+),True,5+ Years,62-69
01FWA2056001,69,22,13,N,Renter,2211398.00,High Value ($1M+),True,5+ Years,62-69
01FYA2224000,101,21,12,,Unknown,,Unknown,True,5+ Years,90+
01GAL0957001,68,21,11,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01GAR0160018,90,22,4,N,Renter,0.00,Low Value (<$500k),True,5+ Years,90+
01GBA0155007,70,21,13,N,Renter,,Unknown,True,5+ Years,70-79
01GBS0654000,71,21,13,N,Renter,,Unknown,True,5+ Years,70-79
01GBY0146002,79,21,10,N,Renter,,Unknown,True,5+ Years,70-79
01GCL0158003,67,22,4,Y,Homeowner,742200.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01GEA3146000,79,21,13,,Unknown,,Unknown,True,5+ Years,70-79
01GED2246000,79,22,10,N,Renter,1089200.00,High Value ($1M+),True,5+ Years,70-79
01GFK0161000,64,22,10,Y,Homeowner,769800.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01GFK0452000,73,22,2,Y,Homeowner,718600.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01GGN2353000,72,21,14,N,Renter,3926200.00,High Value ($1M+),True,5+ Years,70-79
01GGY1349000,77,21,10,N,Renter,7157407.00,High Value ($1M+),True,5+ Years,70-79
01GHG0361000,64,22,2,Y,Homeowner,1065000.00,High Value ($1M+),True,5+ Years,62-69
01GHN1963000,62,22,7,N,Renter,1610300.00,High Value ($1M+),True,5+ Years,62-69
01GJA2655000,70,22,4,N,Renter,0.00,Low Value (<$500k),True,5+ Years,70-79
01GKA0154000,71,21,9,N,Renter,14228402.00,High Value ($1M+),True,5+ Years,70-79
01GLA0833001,92,21,13,N,Renter,,Unknown,True,5+ Years,90+
01GLE2352002,73,21,13,N,Renter,,Unknown,True,5+ Years,70-79
01GLN2762001,63,21,6,Y,Homeowner,1347700.00,High Value ($1M+),True,5+ Years,62-69
01GML0344000,81,22,10,Y,Homeowner,876300.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01GML1161002,64,21,16,Y,Homeowner,,Unknown,True,5+ Years,62-69
01GML2462001,63,22,4,,Unknown,,Unknown,True,5+ Years,62-69
01GMT0133000,91,22,8,Y,Homeowner,1012200.00,High Value ($1M+),True,5+ Years,90+
01GPK0154001,71,22,8,N,Renter,1780800.00,High Value ($1M+),True,5+ Years,70-79
01GPK1845001,80,22,4,Y,Homeowner,638500.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01GPL0153003,72,22,6,Y,Homeowner,712700.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01GPR1749000,76,21,13,N,Renter,,Unknown,True,5+ Years,70-79
01GSA0153002,72,21,13,N,Renter,14600600.00,High Value ($1M+),True,5+ Years,70-79
01GSN0148007,77,21,16,N,Renter,2075600.00,High Value ($1M+),True,5+ Years,70-79
01GTA0160329,65,21,16,,Unknown,,Unknown,True,5+ Years,62-69
01GTE1561000,64,22,7,,Unknown,,Unknown,True,5+ Years,62-69
01GVA0108006,83,22,5,N,Renter,138162000.00,High Value ($1M+),True,5+ Years,80-89
01GWM2638000,87,22,4,N,Renter,4756600.00,High Value ($1M+),True,5+ Years,80-89
01GXE0145000,80,22,8,Y,Homeowner,907900.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01HCG0160036,66,22,3,Y,Homeowner,1317600.00,High Value ($1M+),True,5+ Years,62-69
01HEH1653000,72,22,3,N,Renter,0.00,Low Value (<$500k),True,5+ Years,70-79
01HFE2661000,64,21,13,Y,Homeowner,994800.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01HGA0949001,76,21,2,N,Renter,1517300.00,High Value ($1M+),True,5+ Years,70-79
01HHN0160072,64,22,1,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01HJA0648002,77,21,13,Y,Homeowner,1101000.00,High Value ($1M+),True,5+ Years,70-79
01HJN0100118,72,21,4,N,Renter,3786600.00,High Value ($1M+),True,5+ Years,70-79
01HJS0143005,82,22,8,Y,Homeowner,1207800.00,High Value ($1M+),True,5+ Years,80-89
01HKI0160031,83,21,13,N,Renter,,Unknown,True,5+ Years,80-89
01HMA0160502,65,21,15,N,Renter,931800.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01HME0152006,73,22,2,Y,Homeowner,888600.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01HML0754000,71,22,10,Y,Homeowner,1016300.00,High Value ($1M+),True,5+ Years,70-79
01HML2459000,66,22,1,Y,Homeowner,1403000.00,High Value ($1M+),True,5+ Years,62-69
01HMN1859000,66,22,6,N,Renter,1413800.00,High Value ($1M+),True,5+ Years,62-69
01HMN2962000,63,22,1,Y,Homeowner,1403000.00,High Value ($1M+),True,5+ Years,62-69
01HMY0346000,79,22,10,Y,Homeowner,890900.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01HPA1354000,71,22,12,Y,Homeowner,714600.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01HPI1541003,84,21,10,N,Renter,7157407.00,High Value ($1M+),True,5+ Years,80-89
01HPL1153000,72,21,5,,Unknown,,Unknown,True,5+ Years,70-79
01HPL2463004,62,22,1,N,Renter,604300.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01HRD1262000,63,22,2,Y,Homeowner,1533100.00,High Value ($1M+),True,5+ Years,62-69
01HSA0160242,64,22,10,Y,Homeowner,741000.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01HTA1462000,63,21,11,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01HTS0149005,76,22,10,Y,Homeowner,1330500.00,High Value ($1M+),True,5+ Years,70-79
01HTS2856000,69,21,12,Y,Homeowner,1683300.00,High Value ($1M+),True,5+ Years,62-69
01HYN0160040,75,21,13,Y,Homeowner,1021100.00,High Value ($1M+),True,5+ Years,70-79
01HZN2233000,92,21,12,N,Renter,,Unknown,True,5+ Years,90+
01IEA1640000,85,21,13,N,Renter,,Unknown,True,5+ Years,80-89
01IFH0140000,85,21,13,,Unknown,,Unknown,True,5+ Years,80-89
01INA0528000,97,21,13,N,Renter,,Unknown,True,5+ Years,90+
01IPR3053000,72,22,4,Y,Homeowner,885400.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01JAR0160079,64,21,13,,Unknown,,Unknown,True,5+ Years,62-69
01JAY0160008,66,21,3,,Unknown,,Unknown,True,5+ Years,62-69
01JBA2255003,70,21,9,,Unknown,,Unknown,True,5+ Years,70-79
01JBE1863000,62,21,9,,Unknown,,Unknown,True,5+ Years,62-69
01JEA0160055,78,21,16,,Unknown,,Unknown,True,5+ Years,70-79
01JGD0944000,81,21,6,Y,Homeowner,1376700.00,High Value ($1M+),True,5+ Years,80-89
01JJA0111014,65,21,8,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01JPN2160000,65,22,2,N,Renter,1002900.00,High Value ($1M+),True,5+ Years,62-69
01JRA1057000,68,21,6,Y,Homeowner,1376700.00,High Value ($1M+),True,5+ Years,62-69
01JSN1963001,62,21,12,,Unknown,,Unknown,True,5+ Years,62-69
01KAA0160018,88,21,9,N,Renter,26902496.00,High Value ($1M+),True,5+ Years,80-89
01KAA2328000,97,21,13,N,Renter,,Unknown,True,5+ Years,90+
01KAA2340001,85,21,13,N,Renter,,Unknown,True,5+ Years,80-89
01KAA2928001,97,21,12,,Unknown,,Unknown,True,5+ Years,90+
01KCE1334000,91,21,2,N,Renter,391500.00,Low Value (<$500k),True,5+ Years,90+
01KDD1257000,68,22,2,N,Renter,1511600.00,High Value ($1M+),True,5+ Years,62-69
01KDG0142001,83,21,13,N,Renter,,Unknown,True,5+ Years,80-89
01KDL0160013,65,21,12,,Unknown,,Unknown,True,5+ Years,62-69
01KDY2951000,74,22,4,Y,Homeowner,695400.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01KDY3047001,78,21,12,N,Renter,,Unknown,True,5+ Years,70-79
01KEA2448000,77,21,10,N,Renter,8269891.00,High Value ($1M+),True,5+ Years,70-79
01KEE0144003,81,22,8,Y,Homeowner,1106900.00,High Value ($1M+),True,5+ Years,80-89
01KES2954000,71,22,10,Y,Homeowner,1174500.00,High Value ($1M+),True,5+ Years,70-79
01KGT0353000,72,21,14,N,Renter,0.00,Low Value (<$500k),True,5+ Years,70-79
01KJE0150008,75,21,16,,Unknown,,Unknown,True,5+ Years,70-79
01KJI2659000,66,22,10,Y,Homeowner,1280300.00,High Value ($1M+),True,5+ Years,62-69
01KJN1438002,87,22,3,N,Renter,1024000.00,High Value ($1M+),True,5+ Years,80-89
01KKA1256000,69,22,4,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01KLA0160058,90,21,8,N,Renter,2747746.00,High Value ($1M+),True,5+ Years,90+
01KLE0552000,73,22,7,Y,Homeowner,966500.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
