res_id,age,ward_id,precinct_id,median_income,income_category,has_financial_barrier,property_value
01CCA1941001,84,21,12,93326.00,Higher Income ($75k+),False,
01CCY1562002,63,22,4,82125.00,Higher Income ($75k+),False,780500.00
01CDD2559004,66,21,9,81853.00,Higher Income ($75k+),False,90499900.00
01CDG0118001,83,21,12,0,Low Income (<$50k),True,
01CDU0756000,69,21,10,60060.00,Moderate Income ($50k-$75k),True,0.00
01CED0140001,88,22,12,111705.00,Higher Income ($75k+),False,981500.00
01CEE0142001,83,21,10,81853.00,Higher Income ($75k+),False,8269891.00
01CEH0141004,76,21,13,151466.00,Higher Income ($75k+),False,0.00
01CFC0955001,70,21,8,79000.00,Higher Income ($75k+),False,0.00
01CFG0526001,99,21,10,60060.00,Moderate Income ($50k-$75k),True,0.00
01CFG2550000,75,21,13,80556.00,Higher Income ($75k+),False,16432500.00
01CGD0163001,62,21,11,80556.00,Higher Income ($75k+),False,986500.00
01CGY0144000,81,21,15,151466.00,Higher Income ($75k+),False,3233000.00
01CJG0160048,86,21,13,80556.00,Higher Income ($75k+),False,
01CJH2639000,86,21,6,88625.00,Higher Income ($75k+),False,21763600.00
01CJH3052001,73,22,12,111705.00,Higher Income ($75k+),False,1112900.00
01CJN0160200,62,21,13,73403.00,Moderate Income ($50k-$75k),True,1724100.00
01CJN1157007,68,21,13,80556.00,Higher Income ($75k+),False,16432500.00
01CJN2056001,69,21,10,81853.00,Higher Income ($75k+),False,8153471.00
01CJN3053002,72,22,10,92560.00,Higher Income ($75k+),False,1110700.00
01CKE2759000,66,21,11,80556.00,Higher Income ($75k+),False,1034700.00
01CKM0155001,70,21,5,116793.00,Higher Income ($75k+),False,916300.00
01CKN1558001,67,22,1,0,Low Income (<$50k),True,884700.00
01CLA0150033,75,22,7,75366.00,Higher Income ($75k+),False,699100.00
01CLA0160279,78,21,13,80556.00,Higher Income ($75k+),False,
01CLN0148000,76,22,7,75366.00,Higher Income ($75k+),False,699100.00
01CLN0160311,72,21,13,80556.00,Higher Income ($75k+),False,16432500.00
01CLS0657002,68,21,9,46985.00,Low Income (<$50k),True,26902496.00
01CLY0100014,62,22,7,82125.00,Higher Income ($75k+),False,919400.00
01CMA1460002,65,21,1,0,Low Income (<$50k),True,7398000.00
01CMD0758001,67,22,1,45000.00,Low Income (<$50k),True,0.00
01CMD2547000,78,21,10,81853.00,Higher Income ($75k+),False,7157407.00
01CME0157007,68,21,12,0,Low Income (<$50k),True,
01CME0249001,76,21,16,114271.00,Higher Income ($75k+),False,23858100.00
01CME0358001,67,22,1,45000.00,Low Income (<$50k),True,1260300.00
01CME0453002,72,21,13,80556.00,Higher Income ($75k+),False,5208368.00
01CME0660004,65,22,11,75366.00,Higher Income ($75k+),False,1033800.00
01CMO1063000,62,22,11,75366.00,Higher Income ($75k+),False,870300.00
01CMO1948001,77,22,6,88625.00,Higher Income ($75k+),False,0.00
01CMY1537000,88,21,11,0,Low Income (<$50k),True,1196200.00
01CNY2358001,67,21,10,60060.00,Moderate Income ($50k-$75k),True,0.00
01CPA0126005,100,21,16,114271.00,Higher Income ($75k+),False,1337800.00
01CPA1253000,72,22,1,45000.00,Low Income (<$50k),True,1130900.00
01CPA2656001,69,22,5,33229.00,Low Income (<$50k),True,1338900.00
01CPL0861001,64,22,10,75366.00,Higher Income ($75k+),False,1016300.00
01CRA0160060,67,21,7,46985.00,Low Income (<$50k),True,1541101.00
01CRA1348000,77,21,11,80556.00,Higher Income ($75k+),False,0.00
01CRA2730000,95,22,10,111705.00,Higher Income ($75k+),False,738500.00
01CRE1357000,68,22,9,73403.00,Moderate Income ($50k-$75k),True,1310300.00
01CSE0463000,62,22,3,111705.00,Higher Income ($75k+),False,1105700.00
01CSG0349000,76,21,13,80556.00,Higher Income ($75k+),False,
01CSL0951000,74,22,9,73403.00,Moderate Income ($50k-$75k),True,807900.00
01CSN2858000,67,22,12,111705.00,Higher Income ($75k+),False,1084000.00
01CSU0112002,66,22,1,45000.00,Low Income (<$50k),True,899000.00
01CTA1556001,69,21,12,93326.00,Higher Income ($75k+),False,
01CTS1957000,68,22,3,111705.00,Higher Income ($75k+),False,1105700.00
01CVA2244000,81,22,1,45000.00,Low Income (<$50k),True,1007500.00
01CWM1756000,69,22,1,45000.00,Low Income (<$50k),True,716600.00
01CWM2260001,65,21,9,81853.00,Higher Income ($75k+),False,79001700.00
01CYG0234000,91,21,15,151466.00,Higher Income ($75k+),False,15726100.00
01CYG0450000,75,21,13,80556.00,Higher Income ($75k+),False,1275500.00
01CYN2652000,73,21,13,80556.00,Higher Income ($75k+),False,5208368.00
01DAA0160321,82,22,10,75366.00,Higher Income ($75k+),False,1107000.00
01DAL0160051,67,21,8,79000.00,Higher Income ($75k+),False,2373100.00
01DAO0155002,69,22,5,33229.00,Low Income (<$50k),True,870700.00
01DBY0158001,67,21,9,81853.00,Higher Income ($75k+),False,9245098.00
01DCN2662000,63,21,5,131206.00,Higher Income ($75k+),False,0.00
01DDD3054000,71,22,7,75366.00,Higher Income ($75k+),False,992900.00
01DDK0160006,64,21,7,46985.00,Low Income (<$50k),True,4840926.00
01DDL0163011,62,22,12,111705.00,Higher Income ($75k+),False,1243300.00
01DEE2857000,68,22,5,33229.00,Low Income (<$50k),True,138162000.00
01DEH2529000,96,22,13,82125.00,Higher Income ($75k+),False,2211398.00
01DEN0160111,66,22,7,75366.00,Higher Income ($75k+),False,1100200.00
01DJA0146000,79,21,5,131206.00,Higher Income ($75k+),False,5406216.00
01DJA2847002,78,21,13,80556.00,Higher Income ($75k+),False,
01DJE1153001,72,22,10,73403.00,Moderate Income ($50k-$75k),True,1219500.00
01DMY1457002,68,22,6,88625.00,Higher Income ($75k+),False,2118700.00
01DMY2850001,75,21,13,80556.00,Higher Income ($75k+),False,5208368.00
01DPA1760000,65,22,1,45000.00,Low Income (<$50k),True,919200.00
01DRH0160093,78,21,7,131206.00,Higher Income ($75k+),False,1874932.00
01DSA0944001,81,21,11,80556.00,Higher Income ($75k+),False,5379000.00
01DSI0560000,65,22,10,111705.00,Higher Income ($75k+),False,931500.00
01DSN1162002,63,22,4,92560.00,Higher Income ($75k+),False,1089000.00
01DTA1262000,63,22,10,75366.00,Higher Income ($75k+),False,1064600.00
01DTE0960000,65,21,12,0,Low Income (<$50k),True,
01DTI0563000,62,21,1,0,Low Income (<$50k),True,0.00
01DTS0161009,63,22,3,111705.00,Higher Income ($75k+),False,1118700.00
01DVO2858000,67,22,2,89479.00,Higher Income ($75k+),False,1041500.00
01DWM2731000,94,22,2,45000.00,Low Income (<$50k),True,897600.00
01DXR0113000,63,22,1,89479.00,Higher Income ($75k+),False,1028400.00
01DZA2034002,91,21,13,80556.00,Higher Income ($75k+),False,
01EAL0149000,75,21,10,81853.00,Higher Income ($75k+),False,8269891.00
01EBE0140000,84,22,9,73403.00,Moderate Income ($50k-$75k),True,843800.00
01EEA2458003,67,21,8,79000.00,Higher Income ($75k+),False,2747746.00
01EEE0130001,75,22,3,111705.00,Higher Income ($75k+),False,21747200.00
01EGD0148000,77,21,12,0,Low Income (<$50k),True,
01EJN0160122,70,21,1,0,Low Income (<$50k),True,7398000.00
01EJN2361000,64,22,13,82125.00,Higher Income ($75k+),False,985300.00
01EJT2156000,69,22,3,88625.00,Higher Income ($75k+),False,0.00
01EME2451000,74,21,10,60060.00,Moderate Income ($50k-$75k),True,
01FAN0953000,72,22,7,92560.00,Higher Income ($75k+),False,649500.00
01FBE1363000,62,22,13,82125.00,Higher Income ($75k+),False,1269700.00
01FEN0151000,74,21,12,93326.00,Higher Income ($75k+),False,8237900.00
01FEN0160063,62,22,8,92560.00,Higher Income ($75k+),False,0.00
01FFE0424000,101,22,8,73403.00,Moderate Income ($50k-$75k),True,943000.00
01FHY0158001,67,22,10,92560.00,Higher Income ($75k+),False,968900.00
01FJH3050000,75,21,16,114271.00,Higher Income ($75k+),False,1223300.00
01FJS1136000,89,21,9,81853.00,Higher Income ($75k+),False,22807000.00
01FJS2642000,83,22,5,33229.00,Low Income (<$50k),True,1091600.00
01FLA0138001,87,21,12,0,Low Income (<$50k),True,
01FLA0748000,77,22,11,82125.00,Higher Income ($75k+),False,591200.00
01FME3060000,65,22,1,45000.00,Low Income (<$50k),True,847800.00
01FML0347000,78,22,8,92560.00,Higher Income ($75k+),False,1086300.00
01FMT3060000,65,22,1,45000.00,Low Income (<$50k),True,847800.00
01FMY2251000,74,21,7,46985.00,Low Income (<$50k),True,1541101.00
01FPL0944000,81,22,2,45000.00,Low Income (<$50k),True,912800.00
01FTI2756000,69,22,4,92560.00,Higher Income ($75k+),False,1001700.00
01FVA1852001,73,21,13,80556.00,Higher Income ($75k+),False,5208368.00
01FVT0160010,63,22,12,111705.00,Higher Income ($75k+),False,1190300.00
01FWA2056001,69,22,13,82125.00,Higher Income ($75k+),False,2211398.00
01FYA2224000,101,21,12,0,Low Income (<$50k),True,
01GAL0957001,68,21,11,80556.00,Higher Income ($75k+),False,0.00
01GAR0160018,90,22,4,82125.00,Higher Income ($75k+),False,0.00
01GBA0155007,70,21,13,80556.00,Higher Income ($75k+),False,
01GBS0654000,71,21,13,80556.00,Higher Income ($75k+),False,
01GBY0146002,79,21,10,60060.00,Moderate Income ($50k-$75k),True,
01GCL0158003,67,22,4,92560.00,Higher Income ($75k+),False,742200.00
01GEA3146000,79,21,13,80556.00,Higher Income ($75k+),False,16432500.00
01GED2246000,79,22,10,111705.00,Higher Income ($75k+),False,1089200.00
01GFK0161000,64,22,10,111705.00,Higher Income ($75k+),False,769800.00
01GFK0452000,73,22,2,89479.00,Higher Income ($75k+),False,718600.00
01GGN2353000,72,21,14,114271.00,Higher Income ($75k+),False,3926200.00
01GGY1349000,77,21,10,81853.00,Higher Income ($75k+),False,7157407.00
01GHG0361000,64,22,2,33229.00,Low Income (<$50k),True,1065000.00
01GHN1963000,62,22,7,82125.00,Higher Income ($75k+),False,1610300.00
01GJA2655000,70,22,4,82125.00,Higher Income ($75k+),False,0.00
01GKA0154000,71,21,9,81853.00,Higher Income ($75k+),False,14228402.00
01GLA0833001,92,21,13,80556.00,Higher Income ($75k+),False,
01GLE2352002,73,21,13,80556.00,Higher Income ($75k+),False,
01GLN2762001,63,21,6,46985.00,Low Income (<$50k),True,1347700.00
01GML0344000,81,22,10,111705.00,Higher Income ($75k+),False,876300.00
01GML1161002,64,21,16,114271.00,Higher Income ($75k+),False,
01GML2462001,63,22,4,92560.00,Higher Income ($75k+),False,770200.00
01GMT0133000,91,22,8,92560.00,Higher Income ($75k+),False,1012200.00
01GPK0154001,71,22,8,92560.00,Higher Income ($75k+),False,1780800.00
01GPK1845001,80,22,4,92560.00,Higher Income ($75k+),False,638500.00
01GPL0153003,72,22,6,88625.00,Higher Income ($75k+),False,712700.00
01GPR1749000,76,21,13,80556.00,Higher Income ($75k+),False,
01GSA0153002,72,21,13,80556.00,Higher Income ($75k+),False,14600600.00
01GSN0148007,77,21,16,114271.00,Higher Income ($75k+),False,2075600.00
01GTA0160329,65,21,16,114271.00,Higher Income ($75k+),False,4534200.00
01GTE1561000,64,22,7,75366.00,Higher Income ($75k+),False,864400.00
01GVA0108006,83,22,5,33229.00,Low Income (<$50k),True,138162000.00
01GWM2638000,87,22,4,82125.00,Higher Income ($75k+),False,4756600.00
01GXE0145000,80,22,8,92560.00,Higher Income ($75k+),False,907900.00
01HCG0160036,66,22,3,111705.00,Higher Income ($75k+),False,1317600.00
01HEH1653000,72,22,3,88625.00,Higher Income ($75k+),False,0.00
01HFE2661000,64,21,13,80556.00,Higher Income ($75k+),False,994800.00
01HGA0949001,76,21,2,0,Low Income (<$50k),True,1517300.00
01HHN0160072,64,22,1,45000.00,Low Income (<$50k),True,0.00
01HJA0648002,77,21,13,80556.00,Higher Income ($75k+),False,1101000.00
01HJN0100118,72,21,4,53824.00,Moderate Income ($50k-$75k),True,3786600.00
01HJS0143005,82,22,8,92560.00,Higher Income ($75k+),False,1207800.00
01HKI0160031,83,21,13,80556.00,Higher Income ($75k+),False,
01HMA0160502,65,21,15,114271.00,Higher Income ($75k+),False,931800.00
01HME0152006,73,22,2,45000.00,Low Income (<$50k),True,888600.00
01HML0754000,71,22,10,75366.00,Higher Income ($75k+),False,1016300.00
01HML2459000,66,22,1,89479.00,Higher Income ($75k+),False,1403000.00
01HMN1859000,66,22,6,88625.00,Higher Income ($75k+),False,1413800.00
01HMN2962000,63,22,1,89479.00,Higher Income ($75k+),False,1403000.00
01HMY0346000,79,22,10,75366.00,Higher Income ($75k+),False,890900.00
01HPA1354000,71,22,12,111705.00,Higher Income ($75k+),False,714600.00
01HPI1541003,84,21,10,81853.00,Higher Income ($75k+),False,7157407.00
01HPL1153000,72,21,5,131206.00,Higher Income ($75k+),False,3808900.00
01HPL2463004,62,22,1,45000.00,Low Income (<$50k),True,604300.00
01HRD1262000,63,22,2,45000.00,Low Income (<$50k),True,1533100.00
01HSA0160242,64,22,10,111705.00,Higher Income ($75k+),False,741000.00
01HTA1462000,63,21,11,80556.00,Higher Income ($75k+),False,0.00
01HTS0149005,76,22,10,75366.00,Higher Income ($75k+),False,1330500.00
01HTS2856000,69,21,12,93326.00,Higher Income ($75k+),False,1683300.00
01HYN0160040,75,21,13,80556.00,Higher Income ($75k+),False,1021100.00
01HZN2233000,92,21,12,93326.00,Higher Income ($75k+),False,
01IEA1640000,85,21,13,80556.00,Higher Income ($75k+),False,
01IFH0140000,85,21,13,80556.00,Higher Income ($75k+),False,5208368.00
01INA0528000,97,21,13,80556.00,Higher Income ($75k+),False,
01IPR3053000,72,22,4,92560.00,Higher Income ($75k+),False,885400.00
01JAR0160079,64,21,13,80556.00,Higher Income ($75k+),False,16432500.00
01JAY0160008,66,21,3,116793.00,Higher Income ($75k+),False,2358500.00
01JBA2255003,70,21,9,79000.00,Higher Income ($75k+),False,0.00
01JBE1863000,62,21,9,81853.00,Higher Income ($75k+),False,22807000.00
01JEA0160055,78,21,16,114271.00,Higher Income ($75k+),False,0.00
01JGD0944000,81,21,6,46985.00,Low Income (<$50k),True,1376700.00
01JJA0111014,65,21,8,131206.00,Higher Income ($75k+),False,0.00
01JPN2160000,65,22,2,89479.00,Higher Income ($75k+),False,1002900.00
01JRA1057000,68,21,6,46985.00,Low Income (<$50k),True,1376700.00
01JSN1963001,62,21,12,0,Low Income (<$50k),True,
01KAA0160018,88,21,9,46985.00,Low Income (<$50k),True,26902496.00
01KAA2328000,97,21,13,80556.00,Higher Income ($75k+),False,
01KAA2340001,85,21,13,80556.00,Higher Income ($75k+),False,
01KAA2928001,97,21,12,0,Low Income (<$50k),True,
01KCE1334000,91,21,2,0,Low Income (<$50k),True,391500.00
01KDD1257000,68,22,2,45000.00,Low Income (<$50k),True,1511600.00
01KDG0142001,83,21,13,80556.00,Higher Income ($75k+),False,
01KDL0160013,65,21,12,93326.00,Higher Income ($75k+),False,7063600.00
01KDY2951000,74,22,4,92560.00,Higher Income ($75k+),False,695400.00
01KDY3047001,78,21,12,93326.00,Higher Income ($75k+),False,
01KEA2448000,77,21,10,81853.00,Higher Income ($75k+),False,8269891.00
01KEE0144003,81,22,8,73403.00,Moderate Income ($50k-$75k),True,1106900.00
01KES2954000,71,22,10,111705.00,Higher Income ($75k+),False,1174500.00
01KGT0353000,72,21,14,93326.00,Higher Income ($75k+),False,0.00
01KJE0150008,75,21,16,114271.00,Higher Income ($75k+),False,0.00
01KJI2659000,66,22,10,111705.00,Higher Income ($75k+),False,1280300.00
01KJN1438002,87,22,3,80556.00,Higher Income ($75k+),False,1024000.00
01KKA1256000,69,22,4,92560.00,Higher Income ($75k+),False,0.00
01KLA0160058,90,21,8,79000.00,Higher Income ($75k+),False,2747746.00
01KLE0552000,73,22,7,75366.00,Higher Income ($75k+),False,966500.00
01KLV2055001,70,21,7,131206.00,Higher Income ($75k+),False,0.00
01KML0162003,63,22,2,45000.00,Low Income (<$50k),True,1225500.00
01KML2449002,76,21,13,80556.00,Higher Income ($75k+),False,
01KNA1752000,73,21,13,80556.00,Higher Income ($75k+),False,
01KNN1443000,82,21,8,79000.00,Higher Income ($75k+),False,992200.00
01KNY2650001,75,21,13,80556.00,Higher Income ($75k+),False,5208368.00
01KPA0149000,75,22,5,33229.00,Low Income (<$50k),True,0.00
01KSA0353002,72,22,2,45000.00,Low Income (<$50k),True,1229500.00
01KSA2445001,80,21,13,80556.00,Higher Income ($75k+),False,5208368.00
01KSU0142000,83,22,6,88625.00,Higher Income ($75k+),False,981100.00
01KVR0160045,84,21,13,80556.00,Higher Income ($75k+),False,
01KWI2049000,76,21,13,80556.00,Higher Income ($75k+),False,
01LAA2360001,65,22,2,33229.00,Low Income (<$50k),True,1149700.00
01LAE0435000,90,22,2,89479.00,Higher Income ($75k+),False,1161000.00
01LAW0163003,62,21,4,53824.00,Moderate Income ($50k-$75k),True,8170400.00
01LBT2141000,84,22,10,111705.00,Higher Income ($75k+),False,1344100.00
01LCI1948001,77,21,5,131206.00,Higher Income ($75k+),False,0.00
01LCO0115005,84,21,13,80556.00,Higher Income ($75k+),False,
01LDD0143002,82,22,10,111705.00,Higher Income ($75k+),False,998500.00
01LDD2363001,62,22,9,73403.00,Moderate Income ($50k-$75k),True,785200.00
01LEC1153000,72,21,12,93326.00,Higher Income ($75k+),False,1398200.00
01LFA2946000,78,21,13,80556.00,Higher Income ($75k+),False,
01LGY0856001,69,22,6,88625.00,Higher Income ($75k+),False,0.00
01LHN1049000,76,22,13,82125.00,Higher Income ($75k+),False,838100.00
01LHU0149000,76,22,9,73403.00,Moderate Income ($50k-$75k),True,1057700.00
01LIR0160010,64,21,9,79000.00,Higher Income ($75k+),False,0.00
01LJE0260003,65,22,10,75366.00,Higher Income ($75k+),False,1397200.00
01LJE1452000,73,21,7,131206.00,Higher Income ($75k+),False,1555155.00
01LJH0135001,90,21,7,46985.00,Low Income (<$50k),True,4840926.00
01LJK0156000,71,22,9,73403.00,Moderate Income ($50k-$75k),True,1304300.00
01LJN0153012,72,22,10,111705.00,Higher Income ($75k+),False,1354400.00
01LJN1761000,64,22,1,45000.00,Low Income (<$50k),True,885000.00
01LJY0164001,68,21,9,79000.00,Higher Income ($75k+),False,0.00
01LKI0251000,74,22,7,75366.00,Higher Income ($75k+),False,1008400.00
01LKM0557000,68,21,11,80556.00,Higher Income ($75k+),False,1880100.00
01LKM1355001,70,22,2,89479.00,Higher Income ($75k+),False,1013700.00
01LKN2963004,62,22,10,75366.00,Higher Income ($75k+),False,941800.00
01LLA0147007,78,22,2,89479.00,Higher Income ($75k+),False,961600.00
01LLD0145000,80,22,4,82125.00,Higher Income ($75k+),False,0.00
01LLE3056000,69,21,12,0,Low Income (<$50k),True,
01LLY2463000,62,21,9,79000.00,Higher Income ($75k+),False,0.00
01LMA0129000,92,21,13,80556.00,Higher Income ($75k+),False,
01LML0160055,65,22,2,45000.00,Low Income (<$50k),True,1111900.00
01LML1148000,77,21,14,93326.00,Higher Income ($75k+),False,0.00
01LPG3052000,73,21,13,80556.00,Higher Income ($75k+),False,
01LPR1862002,63,22,9,73403.00,Moderate Income ($50k-$75k),True,1777200.00
01LPY0352000,73,22,7,92560.00,Higher Income ($75k+),False,1228600.00
01LRA0156001,68,22,4,82125.00,Higher Income ($75k+),False,0.00
01LRA2555000,70,21,5,131206.00,Higher Income ($75k+),False,0.00
01LRE0856000,69,22,7,75366.00,Higher Income ($75k+),False,1155300.00
01LSH0156001,69,22,3,88625.00,Higher Income ($75k+),False,2233200.00
01LSO1859000,66,22,7,75366.00,Higher Income ($75k+),False,1102300.00
01LVA1235002,90,22,8,92560.00,Higher Income ($75k+),False,1298300.00
01LVN2141000,84,22,8,92560.00,Higher Income ($75k+),False,905700.00
01LWE1655000,70,21,13,80556.00,Higher Income ($75k+),False,16432500.00
01LYM0142000,83,22,13,82125.00,Higher Income ($75k+),False,1163700.00
01LYN1660001,65,22,8,92560.00,Higher Income ($75k+),False,992300.00
01LYT0848002,77,21,13,80556.00,Higher Income ($75k+),False,1073600.00
01MAO1260001,65,21,7,131206.00,Higher Income ($75k+),False,1555155.00
01MAR0453000,72,21,3,116793.00,Higher Income ($75k+),False,2358500.00
01MBN0754000,71,22,8,73403.00,Moderate Income ($50k-$75k),True,1158600.00
01MBT0460000,65,22,4,82125.00,Higher Income ($75k+),False,1010700.00
01MCE1649000,76,22,4,92560.00,Higher Income ($75k+),False,660500.00
01MCR0547000,78,22,11,82125.00,Higher Income ($75k+),False,991300.00
01MCS1755000,70,22,6,88625.00,Higher Income ($75k+),False,1117500.00
01MDA0137004,88,22,3,88625.00,Higher Income ($75k+),False,861300.00
01MDA1253000,72,21,12,0,Low Income (<$50k),True,
01MDD0646002,79,22,9,73403.00,Moderate Income ($50k-$75k),True,576800.00
01MDS0129000,96,22,8,92560.00,Higher Income ($75k+),False,929500.00
01MEE2749000,76,22,9,73403.00,Moderate Income ($50k-$75k),True,846500.00
01MFA1733000,92,21,6,46985.00,Low Income (<$50k),True,1347700.00
01MFS0941000,84,22,4,92560.00,Higher Income ($75k+),False,876700.00
01MGD0362000,63,21,9,81853.00,Higher Income ($75k+),False,22807000.00
01MGO0197005,78,21,9,81853.00,Higher Income ($75k+),False,9245098.00
01MGO2052000,73,21,7,131206.00,Higher Income ($75k+),False,1295963.00
01MHN0160048,85,21,16,114271.00,Higher Income ($75k+),False,0.00
01MHN0742001,83,21,12,0,Low Income (<$50k),True,
01MIA1055000,70,22,8,92560.00,Higher Income ($75k+),False,1173900.00
01MJE0461002,64,22,2,89479.00,Higher Income ($75k+),False,1055900.00
01MJE2262000,63,22,13,82125.00,Higher Income ($75k+),False,1265200.00
