res_id,age,nearest_park_distance_meters,park_accessibility
01BOA0160068,65,31.9232009,Excellent (≤300m)
01BOA0724000,101,192.28088908,Excellent (≤300m)
01BOA1556002,69,64.07903645,Excellent (≤300m)
01BPA0149011,76,84.87987914,Excellent (≤300m)
01BRT2446000,79,247.82732123,Excellent (≤300m)
01BSA0145001,80,263.48735609,Excellent (≤300m)
01BSE0132000,93,229.08292029,Excellent (≤300m)
01BSE1655000,70,19.51678071,Excellent (≤300m)
01BSH1658000,67,31.76974958,Excellent (≤300m)
01BSL0361000,64,98.31324851,Excellent (≤300m)
01BSN2559002,66,232.09859937,Excellent (≤300m)
01BSY0349000,76,204.58985193,Excellent (≤300m)
01BUN2841000,84,371.39990667,Good (300-600m)
01BVA0762000,63,41.87375356,Excellent (≤300m)
01BVA2339001,86,14.75210816,Excellent (≤300m)
01BVR0160032,97,263.48735609,Excellent (≤300m)
01BWM0146008,79,173.93965479,Excellent (≤300m)
01BWM0460000,65,75.82634666,Excellent (≤300m)
01BWM2357000,68,170.5515961,Excellent (≤300m)
01BWY0847001,78,327.80258346,Good (300-600m)
01CAD1341000,84,197.09525936,Excellent (≤300m)
01CAE1758000,67,108.93956582,Excellent (≤300m)
01CAN2350000,75,287.1211365,Excellent (≤300m)
01CAO0738000,87,153.13693135,Excellent (≤300m)
01CBA0160043,77,120.06997205,Excellent (≤300m)
01CBY0549000,76,25.36370695,Excellent (≤300m)
01CCA0134003,90,264.94617484,Excellent (≤300m)
01CCA1941001,84,84.87987914,Excellent (≤300m)
01CCE0136005,89,63.66869952,Excellent (≤300m)
01CCE1948000,77,23.66071689,Excellent (≤300m)
01CCI0155000,70,233.36175919,Excellent (≤300m)
01CCY1562002,63,308.26563441,Good (300-600m)
01CDD2559004,66,84.03994408,Excellent (≤300m)
01CDU0756000,69,37.80182545,Excellent (≤300m)
01CEA0160063,91,64.07903645,Excellent (≤300m)
01CED0140001,88,12.98656864,Excellent (≤300m)
01CEE0142001,83,25.36370695,Excellent (≤300m)
01CEH0141004,76,21.31156501,Excellent (≤300m)
01CFC0955001,70,203.60774679,Excellent (≤300m)
01CFG0526001,99,37.80182545,Excellent (≤300m)
01CGD0163001,62,225.11625424,Excellent (≤300m)
01CGE0114020,81,19.07647339,Excellent (≤300m)
01CGE2461001,64,167.15718482,Excellent (≤300m)
01CGY0144000,81,197.09525936,Excellent (≤300m)
01CHO1363000,62,108.28432871,Excellent (≤300m)
01CIA0160041,67,99.56687721,Excellent (≤300m)
01CIH3154001,71,64.07903645,Excellent (≤300m)
01CJH2639000,86,397.49813107,Good (300-600m)
01CJH3052001,73,116.05019863,Excellent (≤300m)
01CJN0160200,62,55.67749148,Excellent (≤300m)
01CJN2056001,69,26.96374213,Excellent (≤300m)
01CJN3053002,72,23.99670105,Excellent (≤300m)
01CKE2759000,66,191.93477225,Excellent (≤300m)
01CKM0155001,70,201.52105546,Excellent (≤300m)
01CKN1558001,67,107.02394741,Excellent (≤300m)
01CLA0139000,86,210.09429168,Excellent (≤300m)
01CLA0150033,75,18.0489632,Excellent (≤300m)
01CLA0160279,78,192.28088908,Excellent (≤300m)
01CLE0155003,78,263.48735609,Excellent (≤300m)
01CLN0148000,76,18.0489632,Excellent (≤300m)
01CLS0657002,68,97.64558051,Excellent (≤300m)
01CLY0100014,62,172.87675796,Excellent (≤300m)
01CLY2958000,67,49.72164131,Excellent (≤300m)
01CMA1460002,65,44.73885592,Excellent (≤300m)
01CMD0758001,67,344.96216484,Good (300-600m)
01CME0249001,76,31.91366821,Excellent (≤300m)
01CME0358001,67,53.48630395,Excellent (≤300m)
01CME0453002,72,169.37604015,Excellent (≤300m)
01CME0660004,65,36.86534254,Excellent (≤300m)
01CMO1063000,62,90.35780412,Excellent (≤300m)
01CMO1948001,77,218.43338121,Excellent (≤300m)
01CMY1537000,88,131.32642021,Excellent (≤300m)
01CNY2358001,67,37.80182545,Excellent (≤300m)
01CPA0126005,100,7.96511831,Excellent (≤300m)
01CPA1253000,72,34.6333491,Excellent (≤300m)
01CPA2656001,69,185.68723981,Excellent (≤300m)
01CPL0861001,64,325.00208894,Good (300-600m)
01CPP0160064,81,46.12695918,Excellent (≤300m)
01CPR0160047,63,57.90621266,Excellent (≤300m)
01CRA1348000,77,33.4750908,Excellent (≤300m)
01CRA2730000,95,263.62602981,Excellent (≤300m)
01CRE1357000,68,247.58620496,Excellent (≤300m)
01CRT2739001,86,85.44982409,Excellent (≤300m)
01CSE0463000,62,254.85423727,Excellent (≤300m)
01CSG0349000,76,220.81707869,Excellent (≤300m)
01CSL0951000,74,255.91314674,Excellent (≤300m)
01CSM0130000,94,200.48385571,Excellent (≤300m)
01CSN2858000,67,38.30150889,Excellent (≤300m)
01CSU0112002,66,288.06428995,Excellent (≤300m)
01CTA1556001,69,84.87987914,Excellent (≤300m)
01CTS1957000,68,254.85423727,Excellent (≤300m)
01CTY1157000,68,350.66008547,Good (300-600m)
01CVA2244000,81,269.61576912,Excellent (≤300m)
01CVR1748000,77,21.75696712,Excellent (≤300m)
01CWM1756000,69,91.706557,Excellent (≤300m)
01CWM2260001,65,170.42421144,Excellent (≤300m)
01CYG0112007,70,15.58618358,Excellent (≤300m)
01CYG0234000,91,201.36363692,Excellent (≤300m)
01CYG0450000,75,62.1506109,Excellent (≤300m)
01CYN2652000,73,169.37604015,Excellent (≤300m)
01CZI1959000,66,301.8547576,Good (300-600m)
01DAA0160321,82,305.60695348,Good (300-600m)
01DAE0138001,87,35.7953909,Excellent (≤300m)
01DAL0160051,67,224.03064148,Excellent (≤300m)
01DAO0155002,69,199.85974198,Excellent (≤300m)
01DBY0158001,67,38.79589199,Excellent (≤300m)
01DCN2662000,63,276.83928943,Excellent (≤300m)
01DDD3054000,71,114.01638802,Excellent (≤300m)
01DDK0160006,64,21.75931055,Excellent (≤300m)
01DDL0163011,62,155.5490196,Excellent (≤300m)
01DEE2857000,68,320.65475776,Good (300-600m)
01DEH2529000,96,287.40654727,Excellent (≤300m)
01DEN0160111,66,277.71024882,Excellent (≤300m)
01DER0160027,77,31.9232009,Excellent (≤300m)
01DGA0160072,69,169.17460113,Excellent (≤300m)
01DGL0840000,85,204.59770147,Excellent (≤300m)
01DJA0146000,79,86.05186207,Excellent (≤300m)
01DJE1153001,72,97.83631531,Excellent (≤300m)
01DJR0163004,62,284.1688891,Excellent (≤300m)
01DKR2542000,83,91.21776689,Excellent (≤300m)
01DML0160318,72,237.27528224,Excellent (≤300m)
01DML1062000,63,18.93400725,Excellent (≤300m)
01DMT0143001,82,35.7953909,Excellent (≤300m)
01DMY1457002,68,200.93059613,Excellent (≤300m)
01DMY2850001,75,169.37604015,Excellent (≤300m)
01DNN0157000,68,109.51434635,Excellent (≤300m)
01DPA1760000,65,275.7214965,Excellent (≤300m)
01DRH0160093,78,81.51356709,Excellent (≤300m)
01DSA0160319,65,119.43722696,Excellent (≤300m)
01DSA0944001,81,53.47988537,Excellent (≤300m)
01DSI0560000,65,375.71922059,Good (300-600m)
01DSM0158000,67,40.4404764,Excellent (≤300m)
01DSN0556000,69,290.72326921,Excellent (≤300m)
01DSN1162002,63,249.38159689,Excellent (≤300m)
01DTA1262000,63,201.79925273,Excellent (≤300m)
01DTI0563000,62,65.13500321,Excellent (≤300m)
01DTS0161009,63,217.4573476,Excellent (≤300m)
01DVO2858000,67,76.7640148,Excellent (≤300m)
01DWM2731000,94,303.15633239,Good (300-600m)
01DXR0113000,63,246.17654333,Excellent (≤300m)
01DZA2034002,91,220.81707869,Excellent (≤300m)
01EAL0149000,75,25.36370695,Excellent (≤300m)
01EBE0140000,84,292.72124522,Excellent (≤300m)
01EDA0346000,79,334.73560585,Good (300-600m)
01EDE1443002,82,169.72808515,Excellent (≤300m)
01EEA2458003,67,128.8271346,Excellent (≤300m)
01EEE0130001,75,66.13952783,Excellent (≤300m)
01EIA3137000,88,64.07903645,Excellent (≤300m)
01EJN0160122,70,44.73885592,Excellent (≤300m)
01EJN2361000,64,227.83414272,Excellent (≤300m)
01EJT2156000,69,263.45597939,Excellent (≤300m)
01EKN2861001,64,191.31939242,Excellent (≤300m)
01EME2451000,74,60.05706436,Excellent (≤300m)
01EMI1446000,79,119.43722696,Excellent (≤300m)
01EMT0160012,73,183.95216007,Excellent (≤300m)
01ENY2147000,78,117.27956988,Excellent (≤300m)
01ERD1355000,70,23.39338749,Excellent (≤300m)
01ETA2149001,76,64.07903645,Excellent (≤300m)
01FAN0953000,72,158.00278359,Excellent (≤300m)
01FBE1363000,62,305.5367069,Good (300-600m)
01FEN0151000,74,197.5912965,Excellent (≤300m)
01FEN0160063,62,13.27108577,Excellent (≤300m)
01FFE0424000,101,146.84799982,Excellent (≤300m)
01FHY0158001,67,68.10927395,Excellent (≤300m)
01FJE3163001,62,21.61778231,Excellent (≤300m)
01FJH3050000,75,49.50712447,Excellent (≤300m)
01FJS1136000,89,28.59968669,Excellent (≤300m)
01FJS2642000,83,336.15092255,Good (300-600m)
01FLA0748000,77,157.25200181,Excellent (≤300m)
01FME3060000,65,97.5538641,Excellent (≤300m)
01FML0347000,78,74.45692136,Excellent (≤300m)
01FML1753000,72,104.6307236,Excellent (≤300m)
01FMT3060000,65,97.5538641,Excellent (≤300m)
01FPL0944000,81,200.48641383,Excellent (≤300m)
01FRD2943003,82,288.45157653,Excellent (≤300m)
01FTI2756000,69,210.56777764,Excellent (≤300m)
01FVA1852001,73,169.37604015,Excellent (≤300m)
01FVT0160010,63,187.95948408,Excellent (≤300m)
01FWA2056001,69,287.40654727,Excellent (≤300m)
01FZA2532000,93,204.59770147,Excellent (≤300m)
01GAL0957001,68,159.68347745,Excellent (≤300m)
01GAO1048005,77,34.12805263,Excellent (≤300m)
01GAR0160018,90,410.87848977,Good (300-600m)
01GBY0146002,79,60.05706436,Excellent (≤300m)
01GCL0158003,67,75.55547646,Excellent (≤300m)
01GCS2352002,73,196.05669234,Excellent (≤300m)
01GED2246000,79,113.51298452,Excellent (≤300m)
01GFK0161000,64,397.0117986,Good (300-600m)
01GFK0452000,73,226.69285767,Excellent (≤300m)
01GFR0161001,64,19.00661166,Excellent (≤300m)
01GGN2353000,72,314.3500256,Good (300-600m)
01GHG0361000,64,358.06803889,Good (300-600m)
01GHN1963000,62,50.78386328,Excellent (≤300m)
01GJA2655000,70,137.08622438,Excellent (≤300m)
01GJH2750000,75,64.07903645,Excellent (≤300m)
01GJN0157016,68,85.59212969,Excellent (≤300m)
01GJS0451000,74,219.08393253,Excellent (≤300m)
01GJY1654000,71,171.67128432,Excellent (≤300m)
01GKA0154000,71,73.88914833,Excellent (≤300m)
01GLA0833001,92,220.81707869,Excellent (≤300m)
01GLA1358001,67,40.4404764,Excellent (≤300m)
01GLN2762001,63,207.14548491,Excellent (≤300m)
01GME0147002,78,200.47940533,Excellent (≤300m)
01GML0344000,81,314.77750223,Good (300-600m)
01GML1161002,64,5.94234168,Excellent (≤300m)
01GML2462001,63,217.52495697,Excellent (≤300m)
01GMT0133000,91,119.46776527,Excellent (≤300m)
01GMY0145005,80,204.59770147,Excellent (≤300m)
01GNA0160012,63,42.92990372,Excellent (≤300m)
01GNY0151005,73,50.72851115,Excellent (≤300m)
01GOA0549000,76,350.66008547,Good (300-600m)
01GPK0154001,71,183.68011671,Excellent (≤300m)
01GPK1845001,80,213.4689217,Excellent (≤300m)
01GPL0153003,72,354.92524409,Good (300-600m)
01GPP2160000,65,92.36054129,Excellent (≤300m)
01GRA0157006,69,263.48735609,Excellent (≤300m)
01GRA0160073,77,64.07903645,Excellent (≤300m)
01GRN1962000,63,214.57575261,Excellent (≤300m)
01GSA0153002,72,27.8176589,Excellent (≤300m)
01GSA0160116,90,64.07903645,Excellent (≤300m)
01GSJ2252000,73,76.74552554,Excellent (≤300m)
01GSN0148007,77,162.29451908,Excellent (≤300m)
01GTA0160329,65,91.76285815,Excellent (≤300m)
01GTE1561000,64,141.35667315,Excellent (≤300m)
01GVA0108006,83,320.65475776,Good (300-600m)
01GWM2638000,87,332.80286739,Good (300-600m)
01GXE0145000,80,63.0753984,Excellent (≤300m)
01HCG0160036,66,255.50038101,Excellent (≤300m)
01HEH1653000,72,15.78244836,Excellent (≤300m)
01HFA1059000,66,273.05929087,Excellent (≤300m)
01HFE2661000,64,70.05059492,Excellent (≤300m)
01HFK1642000,83,214.34465969,Excellent (≤300m)
01HGA0949001,76,347.36852827,Good (300-600m)
01HHN0160072,64,260.82494636,Excellent (≤300m)
01HJA0160129,91,42.91136864,Excellent (≤300m)
01HJA0648002,77,71.41570801,Excellent (≤300m)
01HJN0100118,72,423.21167449,Good (300-600m)
01HJS0143005,82,34.98047454,Excellent (≤300m)
01HKI0160031,83,192.28088908,Excellent (≤300m)
01HLG3163000,62,263.48735609,Excellent (≤300m)
01HMA0160502,65,126.3572669,Excellent (≤300m)
01HME0152006,73,194.12510409,Excellent (≤300m)
01HML0754000,71,325.00208894,Good (300-600m)
01HML2459000,66,292.96112391,Excellent (≤300m)
01HMN1859000,66,161.77592226,Excellent (≤300m)
01HMN2962000,63,292.96112391,Excellent (≤300m)
01HMY0346000,79,212.86922411,Excellent (≤300m)
01HMY0963000,62,357.65964657,Good (300-600m)
01HOA0156000,69,14.75210816,Excellent (≤300m)
01HPA1354000,71,37.23271362,Excellent (≤300m)
01HPL1153000,72,118.25857814,Excellent (≤300m)
01HPL2463004,62,88.87136541,Excellent (≤300m)
01HRD1262000,63,189.77892477,Excellent (≤300m)
01HSA0160242,64,394.99906932,Good (300-600m)
01HSD1643000,82,19.07647339,Excellent (≤300m)
01HSN1663000,62,12.29831209,Excellent (≤300m)
01HSN1858000,67,13.13546365,Excellent (≤300m)
01HTA0163002,62,421.70657567,Good (300-600m)
01HTA1462000,63,172.28104485,Excellent (≤300m)
01HTS0149005,76,210.83070823,Excellent (≤300m)
01HTS2856000,69,152.13554758,Excellent (≤300m)
01HTY0361001,64,44.99959312,Excellent (≤300m)
01HYI1034000,91,83.41748808,Excellent (≤300m)
01HYN0160040,75,20.95166333,Excellent (≤300m)
01HZN2233000,92,84.87987914,Excellent (≤300m)
01IEA1640000,85,192.28088908,Excellent (≤300m)
01IFH0140000,85,169.37604015,Excellent (≤300m)
01IPR3053000,72,247.69425385,Excellent (≤300m)
01JAY0160008,66,29.63905665,Excellent (≤300m)
01JBA2255003,70,70.52090976,Excellent (≤300m)
01JBE1863000,62,28.59968669,Excellent (≤300m)
01JEA0160055,78,107.31560089,Excellent (≤300m)
01JGA0136000,89,134.67221626,Excellent (≤300m)
01JGD0944000,81,83.07596867,Excellent (≤300m)
01JJA0111014,65,141.59871435,Excellent (≤300m)
01JLA0160056,67,99.23826802,Excellent (≤300m)
01JLI2752000,73,22.79048662,Excellent (≤300m)
01JME1349000,76,64.07903645,Excellent (≤300m)
01JPN2160000,65,208.37100905,Excellent (≤300m)
01JRA1057000,68,83.07596867,Excellent (≤300m)
01KAA0160018,88,97.64558051,Excellent (≤300m)
01KAW0160016,65,102.97407596,Excellent (≤300m)
01KBA0641001,84,120.59352107,Excellent (≤300m)
01KBS1734001,91,64.07903645,Excellent (≤300m)
01KCE1334000,91,327.97588836,Good (300-600m)
01KDD1257000,68,163.39046252,Excellent (≤300m)
01KDG0142001,83,220.81707869,Excellent (≤300m)
01KDL0160013,65,37.7308728,Excellent (≤300m)
01KDY2951000,74,300.84398635,Good (300-600m)
01KDY3047001,78,84.87987914,Excellent (≤300m)
01KEA2047001,78,64.07903645,Excellent (≤300m)
01KEA2448000,77,25.36370695,Excellent (≤300m)
01KEE0144003,81,62.58330494,Excellent (≤300m)
01KES2954000,71,73.86549158,Excellent (≤300m)
01KGE2556000,69,243.60324214,Excellent (≤300m)
01KGT0353000,72,206.52537069,Excellent (≤300m)
01KHY0160053,67,117.04511868,Excellent (≤300m)
01KIE0160006,88,52.13547177,Excellent (≤300m)
01KJE0150008,75,109.80363453,Excellent (≤300m)
01KJI2659000,66,236.94138885,Excellent (≤300m)
01KJN1438002,87,185.08349551,Excellent (≤300m)
01KKA1256000,69,302.49975494,Good (300-600m)
01KLA0160058,90,120.06997205,Excellent (≤300m)
01KLE0552000,73,107.05499688,Excellent (≤300m)
01KLV2055001,70,173.98866087,Excellent (≤300m)
01KML0162003,63,258.7795335,Excellent (≤300m)
01KML2449002,76,220.81707869,Excellent (≤300m)
01KMT1639003,86,204.59770147,Excellent (≤300m)
01KNN1443000,82,203.92080078,Excellent (≤300m)
01KNY2650001,75,169.37604015,Excellent (≤300m)
01KPA0149000,75,99.15942125,Excellent (≤300m)
01KRT0160040,85,120.59352107,Excellent (≤300m)
01KSA0353002,72,172.20816467,Excellent (≤300m)
01KSA2445001,80,169.37604015,Excellent (≤300m)
01KSN0162008,63,30.22013072,Excellent (≤300m)
01KSN0652003,73,44.61210734,Excellent (≤300m)
01KSU0142000,83,236.02343636,Excellent (≤300m)
01KVR0160045,84,192.28088908,Excellent (≤300m)
01KWI2049000,76,220.81707869,Excellent (≤300m)
01LAA2360001,65,397.83047719,Good (300-600m)
01LAD0160012,65,21.99991508,Excellent (≤300m)
01LAE0435000,90,183.05367796,Excellent (≤300m)
01LAW0163003,62,191.50938712,Excellent (≤300m)
01LBT2141000,84,192.28938784,Excellent (≤300m)
01LCI1948001,77,30.05895356,Excellent (≤300m)
01LCO0115005,84,220.81707869,Excellent (≤300m)
01LCR0160014,66,125.10645895,Excellent (≤300m)
01LDD0143002,82,411.53516384,Good (300-600m)
01LDD2363001,62,305.37600942,Good (300-600m)
01LEA1746000,79,313.42028375,Good (300-600m)
01LEC1153000,72,98.64223171,Excellent (≤300m)
01LFA2946000,78,192.28088908,Excellent (≤300m)
01LGS1958001,67,388.10625547,Good (300-600m)
01LGY0856001,69,325.15582869,Good (300-600m)
01LHN1049000,76,168.57810744,Excellent (≤300m)
01LHU0149000,76,102.388808,Excellent (≤300m)
01LIR0160010,64,58.4392598,Excellent (≤300m)
01LJE0260003,65,254.93162491,Excellent (≤300m)
01LJE1452000,73,44.57541007,Excellent (≤300m)
01LJH0135001,90,21.75931055,Excellent (≤300m)
01LJK0156000,71,172.96575152,Excellent (≤300m)
01LJN0153012,72,224.34189339,Excellent (≤300m)
01LJN1761000,64,258.32242732,Excellent (≤300m)
01LJN2349000,76,216.45168531,Excellent (≤300m)
01LJY0164001,68,85.12685701,Excellent (≤300m)
01LKI0251000,74,174.75023424,Excellent (≤300m)
01LKM0557000,68,101.32556582,Excellent (≤300m)
01LKM1355001,70,206.59129472,Excellent (≤300m)
01LKN2963004,62,179.37610011,Excellent (≤300m)
01LLA0147007,78,232.08572882,Excellent (≤300m)
01LLD0145000,80,421.08582718,Good (300-600m)
01LLY2463000,62,85.12685701,Excellent (≤300m)
01LMA0129000,92,220.81707869,Excellent (≤300m)
01LML0160055,65,212.4171878,Excellent (≤300m)
01LML1148000,77,179.68552863,Excellent (≤300m)
01LMY0163005,62,176.14672976,Excellent (≤300m)
01LNE0100016,87,64.07903645,Excellent (≤300m)
01LOA0160025,97,313.42028375,Good (300-600m)
01LPG3052000,73,220.81707869,Excellent (≤300m)
01LPR1862002,63,275.27892068,Excellent (≤300m)
01LPY0352000,73,125.85696836,Excellent (≤300m)
01LRA0156001,68,137.08622438,Excellent (≤300m)
01LRA2555000,70,57.23310933,Excellent (≤300m)
01LRE0856000,69,203.27237114,Excellent (≤300m)
01LSH0156001,69,165.2406809,Excellent (≤300m)
01LSO1859000,66,180.69009589,Excellent (≤300m)
01LTA0150002,67,18.29541245,Excellent (≤300m)
01LVA1235002,90,101.17716413,Excellent (≤300m)
01LVN2141000,84,47.4024516,Excellent (≤300m)
01LWR0556001,69,289.72293498,Excellent (≤300m)
01LYG0154001,71,386.47069511,Good (300-600m)
01LYM0142000,83,113.77993972,Excellent (≤300m)
01LYN1660001,65,35.81145832,Excellent (≤300m)
01LYT0848002,77,44.3825785,Excellent (≤300m)
01MAN0149003,76,95.63411528,Excellent (≤300m)
01MAO1260001,65,44.27060751,Excellent (≤300m)
01MAR0453000,72,29.63905665,Excellent (≤300m)
01MBN0754000,71,175.73023973,Excellent (≤300m)
01MBT0460000,65,344.24230409,Good (300-600m)
01MCE1649000,76,104.46475101,Excellent (≤300m)
01MCR0547000,78,215.0175761,Excellent (≤300m)
01MCR0841000,84,228.40335911,Excellent (≤300m)
01MCS1755000,70,246.39764529,Excellent (≤300m)
01MDA0137004,88,209.62550466,Excellent (≤300m)
01MDD0144011,81,82.29993006,Excellent (≤300m)
01MDD0646002,79,264.95821815,Excellent (≤300m)
01MDE0161013,64,253.44202658,Excellent (≤300m)
01MDE1350000,75,108.28432871,Excellent (≤300m)
01MDN1661001,64,261.73217406,Excellent (≤300m)
01MDS0129000,96,72.24941863,Excellent (≤300m)
01MEE2749000,76,245.87239195,Excellent (≤300m)
01MEN0148010,76,54.29106205,Excellent (≤300m)
01MFA1733000,92,196.31538752,Excellent (≤300m)
01MFK0254001,71,64.07903645,Excellent (≤300m)
01MFR0160010,83,146.37073743,Excellent (≤300m)
01MFS0941000,84,256.09649023,Excellent (≤300m)
01MGD0362000,63,28.59968669,Excellent (≤300m)
01MGO0197005,78,38.79589199,Excellent (≤300m)
01MGO2052000,73,72.69754953,Excellent (≤300m)
01MHN0160048,85,90.70016666,Excellent (≤300m)
01MIA1055000,70,22.21522747,Excellent (≤300m)
01MIE1825000,100,313.42028375,Good (300-600m)
01MJE0461002,64,284.70821437,Excellent (≤300m)
01MJE2262000,63,167.78374471,Excellent (≤300m)
01MJH0152007,73,35.7953909,Excellent (≤300m)
01MJH2358002,67,23.39338749,Excellent (≤300m)
01MJN0158043,67,95.33364628,Excellent (≤300m)
01MJN2259001,66,69.2825865,Excellent (≤300m)
01MJS0150027,75,141.81336257,Excellent (≤300m)
01MJY1763001,62,83.27095834,Excellent (≤300m)
01MKH2261000,64,15.88479542,Excellent (≤300m)
01MKK0153001,72,85.12685701,Excellent (≤300m)
01MKN2059006,66,33.51366774,Excellent (≤300m)
01MLV0157000,67,263.48735609,Excellent (≤300m)
01MLV0346000,79,64.07903645,Excellent (≤300m)
01MMA0158020,67,84.68576372,Excellent (≤300m)
01MMD0163002,62,163.53086271,Excellent (≤300m)
01MME0161105,67,12.06358975,Excellent (≤300m)
01MME0257000,68,145.40411177,Excellent (≤300m)
01MMK2241001,84,64.07903645,Excellent (≤300m)
01MML2855001,70,260.55289448,Excellent (≤300m)
01MML2954001,71,19.07647339,Excellent (≤300m)
01MML3057002,68,207.22142975,Excellent (≤300m)
01MMN1141000,84,248.29126638,Excellent (≤300m)
01MMY2959000,66,246.39764529,Excellent (≤300m)
01MNA0160052,82,220.81707869,Excellent (≤300m)
01MNA0160102,86,44.73885592,Excellent (≤300m)
01MNA1957001,68,64.07903645,Excellent (≤300m)
01MNE2258000,67,77.49461922,Excellent (≤300m)
01MOA3030000,95,103.22161957,Excellent (≤300m)
01MPL0648000,77,39.63696533,Excellent (≤300m)
01MPO3160000,65,38.79589199,Excellent (≤300m)
