STRUCT_ID,OFFICIAL_PAR_ID,AREA_SQ_FT,SOURCE,LOCAL_ID,PARCEL_LOC_ID,PARCEL_POLY_TYPE,PARCEL_MAP_NO,PARCEL_TOWN_ID
228190_899079,2205017000,1828.29847968,City of Boston,Bos_2205017000_B0,F_748649_2949722,FEE,22,35.0
229866_900639,2201729000,779.29622179,City of Boston,Bos_2201729000_B0,F_754139_2954850,FEE,22,35.0
230528_901235,2200247000,1252.13898696,City of Boston,Bos_2200247000_B0,F_756357_2956804,FEE,22,35.0
230585_901232,2200249000,479.16605682,City of Boston,Bos_2200249000_B1,F_756492_2956822,FEE,22,35.0
227280_900181,2203372001,1582.38945606,City of Boston,Bos_2203372001_B0,F_745652_2953345,FEE,22,35.0
230677_900203,2100777000,13698.32315551,City of Boston,Bos_2100777000_B0,F_756819_2953420,FEE,21,35.0
229149_900188,2201975000,1384.27309837,City of Boston,Bos_2201975000_B0,F_751783_2953363,FEE,22,35.0
229140_900168,2201976000,1956.46438939,City of Boston,Bos_2201976000_B0,F_751766_2953305,FEE,22,35.0
228972_900456,2202075000,1461.41572775,City of Boston,Bos_2202075000_B0,F_751224_2954241,FEE,22,35.0
228827_900264,2202280000,1965.67720005,City of Boston,Bos_2202280000_B0,F_750757_2953638,FEE,22,35.0
228756_900305,2202286000,1629.13356716,City of Boston,Bos_2202286000_B0,F_750514_2953746,FEE,22,35.0
228759_900220,2202292000,796.02406193,City of Boston,Bos_2202292000_B1,F_750544_2953525,FEE,22,35.0
230494_900288,2100825000,6633.75583525,City of Boston,Bos_2100825000_B0,F_756234_2953679,FEE,21,35.0
230442_900271,2100852000,1554.54413585,City of Boston,Bos_2100852000_B0,F_756040_2953627,FEE,21,35.0
230291_900313,2100892000,11951.01835795,City of Boston,Bos_2100892000_B0,F_755552_2953739,FEE,21,35.0
228419_900536,2202580000,377.95821719,City of Boston,Bos_2202580000_B1,F_749374_2954474,FEE,22,35.0
228463_900503,2202605000,2224.40565532,City of Boston,Bos_2202605000_B0,F_749552_2954396,FEE,22,35.0
228777_900490,2202569000,543.79105855,City of Boston,Bos_2202569000_B1,F_750620_2954354,FEE,22,35.0
228690_900531,2202547000,988.94017643,City of Boston,Bos_2202547000_B0,F_750292_2954490,FEE,22,35.0
228408_900584,2202588000,1648.21235651,City of Boston,Bos_2202588000_B0,F_749365_2954670,FEE,22,35.0
230470_899900,2101508000,2500.01992224,City of Boston,Bos_2101508000_B0,F_756135_2952416,FEE,21,35.0
230097_899795,2101525000,3818.44288783,City of Boston,Bos_2101525000_B0,F_754910_2952077,FEE,21,35.0
228937_899979,2202330000,2184.43186924,City of Boston,Bos_2202330000_B0,F_751111_2952680,FEE,22,35.0
228841_900090,2202349000,1911.65228896,City of Boston,Bos_2202349000_B0,F_750796_2953026,FEE,22,35.0
228746_900069,2202364000,1721.93899041,City of Boston,Bos_2202364000_B0,F_750476_2952963,FEE,22,35.0
228709_900151,2202378000,2372.51881055,City of Boston,Bos_2202378000_B0,F_750354_2953238,FEE,22,35.0
230245_900333,2100890000,5103.38432865,City of Boston,Bos_2100890000_B0,F_755391_2953821,FEE,21,35.0
230581_900218,2100808000,2092.56741182,City of Boston,Bos_2100808000_B0,F_756492_2953462,FEE,21,35.0
228449_900574,2202600000,234.55711211,City of Boston,Bos_2202600000_B1,F_749528_2954644,FEE,22,35.0
228262_900750,2202668000,1255.82291998,City of Boston,Bos_2202668000_B0,F_748915_2955215,FEE,22,35.0
228762_900815,2202726000,8407.16991601,City of Boston,Bos_2202726000_B0,F_750529_2955428,FEE,22,35.0
228155_900765,2202807000,1630.12203933,City of Boston,Bos_2202807000_B0,F_748534_2955268,FEE,22,35.0
228133_900760,2202809000,1224.3508995,City of Boston,Bos_2202809000_B0,F_748462_2955255,FEE,22,35.0
228121_900774,2202810000,420.11189331,City of Boston,Bos_2202810000_B1,F_748427_2955249,FEE,22,35.0
228826_900375,2202228000,1616.47130263,City of Boston,Bos_2202228000_B0,F_750742_2953981,FEE,22,35.0
228802_900344,2202234000,1694.64310552,City of Boston,Bos_2202234000_B0,F_750653_2953847,FEE,22,35.0
228794_900490,2202569000,2047.6119414,City of Boston,Bos_2202569000_B0,F_750620_2954354,FEE,22,35.0
230602_900168,2100784000,3776.41507822,City of Boston,Bos_2100784000_B0,F_756593_2953293,FEE,21,35.0
230375_900296,2100847000,5662.92775829,City of Boston,Bos_2100847000_B0,F_755816_2953716,FEE,21,35.0
230342_900105,2100879000,3475.33438558,City of Boston,Bos_2100879000_B0,F_755722_2953082,FEE,21,35.0
229375_899326,2101916000,5139.57180463,City of Boston,Bos_2101916000_B0,F_752539_2950535,FEE,21,35.0
232858_899236,2100044000,5258.38024176,City of Boston,Bos_2100044000_B0,F_763960_2950245,FEE,21,35.0
230839_900227,2100745000,18655.95835409,City of Boston,Bos_2100745000_B1,F_757213_2953503,FEE,21,35.0
230666_900133,2100773000,1515.81085306,City of Boston,Bos_2100773000_B0,F_756780_2953184,FEE,21,35.0
230735_900545,2100495000,1779.94840417,City of Boston,Bos_2100495000_B0,F_756995_2954541,FEE,21,35.0
230724_900577,2100497000,1081.97648804,City of Boston,Bos_2100497000_B0,F_756975_2954646,FEE,21,35.0
230735_900578,2100497000,420.69151139,City of Boston,Bos_2100497000_B1,F_756975_2954646,FEE,21,35.0
230531_900537,2100522000,1904.28077971,City of Boston,Bos_2100522000_B0,F_756328_2954512,FEE,21,35.0
229004_900139,2202309000,2037.82179449,City of Boston,Bos_2202309000_B0,F_751327_2953199,FEE,22,35.0
228902_900379,2202222000,2217.53119526,City of Boston,Bos_2202222000_B0,F_750992_2953991,FEE,22,35.0
229085_900459,2202094000,1280.71553674,City of Boston,Bos_2202094000_B0,F_751595_2954250,FEE,22,35.0
229086_900538,2202131000,1107.22935368,City of Boston,Bos_2202131000_B0,F_751588_2954513,FEE,22,35.0
228874_900568,2202176000,1185.6298709,City of Boston,Bos_2202176000_B0,F_750918_2954605,FEE,22,35.0
228877_900390,2202220000,1739.12262092,City of Boston,Bos_2202220000_B0,F_750907_2954019,FEE,22,35.0
229028_900466,2202082000,1174.8087847,City of Boston,Bos_2202082000_B0,F_751407_2954279,FEE,22,35.0
229144_900577,2202114000,3061.28011858,City of Boston,Bos_2202114000_B4,F_751849_2954506,FEE,22,35.0
229088_900579,2202128000,1486.19223216,City of Boston,Bos_2202128000_B1,F_751563_2954636,FEE,22,35.0
228985_900640,2202155000,6055.50077188,City of Boston,Bos_2202155000_B0,F_751249_2954787,FEE,22,35.0
228910_900607,2202182000,1255.24384144,City of Boston,Bos_2202182000_B0,F_750992_2954744,FEE,22,35.0
228905_900310,2202243000,920.82600261,City of Boston,Bos_2202243000_B0,F_751008_2953763,FEE,22,35.0
229044_900265,2202256000,1584.66140453,City of Boston,Bos_2202256000_B0,F_751440_2953578,FEE,22,35.0
228756_900253,2202291000,1452.17223734,City of Boston,Bos_2202291000_B0,F_750502_2953549,FEE,22,35.0
228840_900216,2202297000,1873.22528474,City of Boston,Bos_2202297000_B0,F_750771_2953422,FEE,22,35.0
229844_899796,2101434000,5554.31732815,City of Boston,Bos_2101434000_B0,F_754110_2952062,FEE,21,35.0
230065_900232,2100947000,4142.92742091,City of Boston,Bos_2100947000_B0,F_754840_2953480,FEE,21,35.0
229544_900354,2101323000,1049.61566012,City of Boston,Bos_2101323000_B0,F_753096_2953912,FEE,21,35.0
228662_899873,2205499000,5201.41315797,City of Boston,Bos_2205499000_B0,F_750190_2952328,FEE,22,35.0
228609_899828,2205495000,1466.55409205,City of Boston,Bos_2205495000_B0,F_750064_2952160,FEE,22,35.0
228756_899870,2205503000,11792.56038516,City of Boston,Bos_2205503000_B0,F_750423_2952324,FEE,22,35.0
228195_898881,2205080000,1587.29574606,City of Boston,Bos_2205080000_B0,F_748672_2949079,FEE,22,35.0
228121_898945,2205094000,1791.8451207,City of Boston,Bos_2205094000_B0,F_748434_2949292,FEE,22,35.0
230270_900136,2100882000,3941.11872786,City of Boston,Bos_2100882000_B0,F_755480_2953192,FEE,21,35.0
230174_900206,2100917000,3776.83436713,City of Boston,Bos_2100917000_B0,F_755157_2953447,FEE,21,35.0
229274_899069,2102013000,5089.6300355,City of Boston,Bos_2102013000_B0,F_752244_2949706,FEE,21,35.0
230821_900998,2200018000,1173.97785109,City of Boston,Bos_2200018000_B0,F_757282_2956027,FEE,22,35.0
229911_900250,2101151000,2021.86470946,City of Boston,Bos_2101151000_B0,F_754327_2953562,FEE,21,35.0
230469_900996,2201545000,1574.00071418,City of Boston,Bos_2201545000_B0,F_756126_2956007,FEE,22,35.0
230246_900217,2100885000,3033.5171355,City of Boston,Bos_2100885000_B1,F_755397_2953493,FEE,21,35.0
228290_900352,2204260000,1518.16522217,City of Boston,Bos_2204260000_B0,F_748981_2953895,FEE,22,35.0
228440_898953,2102514000,2649.58772671,City of Boston,Bos_2102514000_B0,F_749469_2949314,FEE,21,35.0
230439_900254,2100853000,1384.48502089,City of Boston,Bos_2100853000_B0,F_756012_2953572,FEE,21,35.0
230308_900083,2100873000,10357.32913527,City of Boston,Bos_2100873000_B0,F_755531_2952963,FEE,21,35.0
229657_899730,2101816000,1614.30654152,City of Boston,Bos_2101816000_B0,F_753470_2951871,FEE,21,35.0
232971_899279,2100038000,5806.69980787,City of Boston,Bos_2100038000_B0,F_764333_2950379,FEE,21,35.0
229766_899280,2101630000,1735.28889745,City of Boston,Bos_2101630000_B0,F_753816_2950384,FEE,21,35.0
229264_899173,2101929000,10464.65725316,City of Boston,Bos_2101929000_B0,F_752162_2950057,FEE,21,35.0
230842_901272,2200150000,12095.9415195,City of Boston,Bos_2200150000_B0,F_757402_2957075,FEE,22,35.0
227260_900197,2203396000,1528.09820491,City of Boston,Bos_2203396000_B0,F_745593_2953381,FEE,22,35.0
227694_900209,2203850000,1367.17908922,City of Boston,Bos_2203850000_B0,F_747024_2953428,FEE,22,35.0
227598_900122,2203838000,1525.40207185,City of Boston,Bos_2203838000_B0,F_746715_2953144,FEE,22,35.0
227591_900073,2203830000,1496.7986934,City of Boston,Bos_2203830000_B0,F_746695_2952985,FEE,22,35.0
229997_900040,2100992000,1715.06507912,City of Boston,Bos_2100992000_B0,F_754584_2952881,FEE,21,35.0
227641_900328,2203224000,1787.02311397,City of Boston,Bos_2203224000_B0,F_746853_2953812,FEE,22,35.0
227673_900306,2203226000,465.36512064,City of Boston,Bos_2203226000_B1,F_746949_2953780,FEE,22,35.0
230275_900061,2100873000,6791.29748799,City of Boston,Bos_2100873000_B1,F_755531_2952963,FEE,21,35.0
230239_900041,2100873000,2877.06513345,City of Boston,Bos_2100873000_B2,F_755531_2952963,FEE,21,35.0
230140_900016,2100982000,1402.99434803,City of Boston,Bos_2100982000_B0,F_755050_2952784,FEE,21,35.0
227612_900036,2203827000,4226.77776065,City of Boston,Bos_2203827000_B0,F_746762_2952845,FEE,22,35.0
227622_900057,2203826000,3257.15639254,City of Boston,Bos_2203826000_B0,F_746769_2952932,FEE,22,35.0
227255_899969,2203774000,1270.76637748,City of Boston,Bos_2203774000_B0,F_745580_2952659,FEE,22,35.0
228064_898917,2205089000,2387.48895569,City of Boston,Bos_2205089000_B0,F_748251_2949219,FEE,22,35.0
228328_899144,2205149000,1134.04071767,City of Boston,Bos_2205149000_B0,F_749112_2949945,FEE,22,35.0
228920_900529,2202188010,2130.39490454,City of Boston,Bos_2202188010_B0,F_751016_2954474,FEE,22,35.0
228303_899121,2205116000,1047.26341776,City of Boston,Bos_2205116000_B0,F_749029_2949858,FEE,22,35.0
230830_900552,2100489000,920.49765837,City of Boston,Bos_2100489000_B0,F_757308_2954560,FEE,21,35.0
230908_900511,2100418000,1766.34462553,City of Boston,Bos_2100418000_B0,F_757573_2954428,FEE,21,35.0
231097_900301,2100472000,15205.97162356,City of Boston,Bos_2100472000_B0,F_758180_2953738,FEE,21,35.0
227997_900401,2203083000,1715.04578722,City of Boston,Bos_2203083000_B0,F_748014_2954047,FEE,22,35.0
227909_900382,2203097000,1535.11350816,City of Boston,Bos_2203097000_B0,F_747724_2954011,FEE,22,35.0
228657_900448,2202572009,1146.58607266,City of Boston,Bos_2202572009_B0,F_750187_2954213,FEE,22,35.0
230446_900419,2100653000,11914.9870672,City of Boston,Bos_2100653000_B0,F_756051_2954192,FEE,21,35.0
230266_901471,2201008000,1366.78244639,City of Boston,Bos_2201008000_B0,,,,
230250_901388,2201015000,2131.08968768,City of Boston,Bos_2201015000_B0,,,,
232518_899812,2100271000,5586.57307344,City of Boston,Bos_2100271000_B0,F_762859_2952130,FEE,21,35.0
232491_899973,2100325000,961.58172076,City of Boston,Bos_2100325000_B0,F_762761_2952639,FEE,21,35.0
232881_899901,2100351000,7142.74329953,City of Boston,Bos_2100351000_B0,F_764043_2952435,FEE,21,35.0
231276_900450,2100402000,66075.36705199,City of Boston,Bos_2100402000_B0,F_758987_2954008,FEE,21,35.0
230874_900531,2100429000,821.27190622,City of Boston,Bos_2100429000_B1,F_757459_2954451,FEE,21,35.0
230493_900640,2100456000,23911.21889055,City of Boston,Bos_2100456000_B0,F_756291_2954787,FEE,21,35.0
230803_900550,2100486000,1378.80403763,City of Boston,Bos_2100486000_B0,F_757231_2954550,FEE,21,35.0
228002_900359,2203091000,1433.88004504,City of Boston,Bos_2203091000_B0,F_748038_2953938,FEE,22,35.0
227980_900404,2203082000,1907.9144152,City of Boston,Bos_2203082000_B0,F_747963_2954058,FEE,22,35.0
228656_900086,2202373000,4713.18267052,City of Boston,Bos_2202373000_B1,F_750227_2953058,FEE,22,35.0
228677_899924,2202393000,3756.31671507,City of Boston,Bos_2202393000_B0,F_750255_2952531,FEE,22,35.0
228962_900159,2202306000,2246.14035714,City of Boston,Bos_2202306000_B0,F_751183_2953237,FEE,22,35.0
228842_900138,2202319001,2662.45007455,City of Boston,Bos_2202319001_B0,F_750795_2953208,FEE,22,35.0
228923_899968,2202330001,2068.47612534,City of Boston,Bos_2202330001_B0,F_751057_2952650,FEE,22,35.0
228815_900038,2202345000,1691.82940887,City of Boston,Bos_2202345000_B0,F_750712_2952864,FEE,22,35.0
228738_900034,2202362000,1527.59224636,City of Boston,Bos_2202362000_B0,F_750460_2952851,FEE,22,35.0
230259_900473,2100721000,1609.22903555,City of Boston,Bos_2100721000_B0,F_755439_2954309,FEE,21,35.0
230080_900417,2100739000,5978.33102066,City of Boston,Bos_2100739000_B0,F_754852_2954106,FEE,21,35.0
230746_900210,2100758000,1839.96884284,City of Boston,Bos_2100758000_B0,F_757057_2953432,FEE,21,35.0
230363_900573,2100700000,1234.48864904,City of Boston,Bos_2100700000_B0,F_755793_2954625,FEE,21,35.0
230247_900580,2100714000,1592.48772409,City of Boston,Bos_2100714000_B0,F_755389_2954643,FEE,21,35.0
230202_900398,2100734000,8121.27542245,City of Boston,Bos_2100734000_B0,F_755238_2954043,FEE,21,35.0
230082_900482,2100706000,1664.89140416,City of Boston,Bos_2100706000_B1,F_754878_2954321,FEE,21,35.0
230128_900496,2100707000,6766.84816975,City of Boston,Bos_2100707000_B0,F_755004_2954367,FEE,21,35.0
230776_900240,2100745000,24199.75563385,City of Boston,Bos_2100745000_B0,F_757213_2953503,FEE,21,35.0
228516_900348,2202512000,1235.01727208,City of Boston,Bos_2202512000_B0,F_749736_2953880,FEE,22,35.0
228481_900468,2202520000,247.85179144,City of Boston,Bos_2202520000_B1,F_749620_2954313,FEE,22,35.0
228716_900580,2202544000,1493.466775,City of Boston,Bos_2202544000_B0,F_750373_2954636,FEE,22,35.0
229639_901082,2200919000,246.12811259,City of Boston,Bos_2200919000_B0,F_753432_2956280,FEE,22,35.0
230304_900039,2100865001,1702.28348922,City of Boston,Bos_2100865001_B0,F_755590_2952874,FEE,21,35.0
230439_900226,2100855000,1370.77429014,City of Boston,Bos_2100855000_B0,F_756018_2953475,FEE,21,35.0
230315_900241,2100895000,10828.52922413,City of Boston,Bos_2100895000_B0,F_755610_2953534,FEE,21,35.0
230193_900125,2100913000,1589.56253412,City of Boston,Bos_2100913000_B0,F_755239_2953155,FEE,21,35.0
232869_899156,2100028000,3335.23276444,City of Boston,Bos_2100028000_B0,F_764015_2949985,FEE,21,35.0
228780_899478,2102839000,448.45936074,City of Boston,Bos_2102839000_B1,F_750577_2950993,FEE,21,35.0
227375_899894,2204642000,1587.88771457,City of Boston,Bos_2204642000_B0,F_745983_2952392,FEE,22,35.0
228016_899669,2205205000,1495.65483042,City of Boston,Bos_2205205000_B0,F_748089_2951650,FEE,22,35.0
228013_899594,2205226000,1446.73621993,City of Boston,Bos_2205226000_B0,F_748060_2951409,FEE,22,35.0
228843_899603,2205408000,1508.53234621,City of Boston,Bos_2205408000_B0,F_750780_2951448,FEE,22,35.0
228415_899569,2204922000,1282.85375552,City of Boston,Bos_2204922000_B0,F_749396_2951339,FEE,22,35.0
227525_899590,2205630000,2009.55177785,City of Boston,Bos_2205630000_B0,F_746465_2951400,FEE,22,35.0
227133_900258,2203538000,1380.2672778,City of Boston,Bos_2203538000_B0,F_745170_2953604,FEE,22,35.0
227180_899816,2204552000,541.96273603,City of Boston,Bos_2204552000_B1,F_745376_2952141,FEE,22,35.0
228864_898612,2102358000,2672.40448672,City of Boston,Bos_2102358000_B0,F_750870_2948189,FEE,21,35.0
229084_900393,2202058000,1094.71779739,City of Boston,Bos_2202058000_B0,F_751591_2954037,FEE,22,35.0
228370_899549,2204927012,1378.27943921,City of Boston,Bos_2204927012_B0,F_749232_2951256,FEE,22,35.0
228023_900527,2203015000,817.5421476,City of Boston,Bos_2203015000_B1,F_748139_2954510,FEE,22,35.0
229196_899331,2101983000,1883.10082608,City of Boston,Bos_2101983000_B0,F_751946_2950566,FEE,21,35.0
230113_901139,2201182000,1059.15896314,City of Boston,Bos_2201182000_B0,F_754967_2956478,FEE,22,35.0
228847_899613,2205407000,1611.60984833,City of Boston,Bos_2205407000_B0,,,,
228609_899633,2205465000,1198.64164475,City of Boston,Bos_2205465000_B0,F_750025_2951532,FEE,22,35.0
228675_899380,2102783000,2425.09169814,City of Boston,Bos_2102783000_B0,F_750261_2950710,FEE,21,35.0
227225_900328,2203397000,2230.21799882,City of Boston,Bos_2203397000_B0,F_745489_2953815,FEE,22,35.0
230473_900532,2100516000,425.0517944,City of Boston,Bos_2100516000_B1,F_756126_2954449,FEE,21,35.0
228060_900618,2202933000,1548.03409824,City of Boston,Bos_2202933000_B0,F_748228_2954757,FEE,22,35.0
227475_899857,2204740000,1754.83685225,City of Boston,Bos_2204740000_B0,F_746318_2952271,FEE,22,35.0
228705_900453,2202572005,1333.92872972,City of Boston,Bos_2202572005_B0,F_750349_2954244,FEE,22,35.0
228668_900479,2202572007,1211.02776643,City of Boston,Bos_2202572007_B0,F_750224_2954315,FEE,22,35.0
228546_900117,2202426000,1847.93603608,City of Boston,Bos_2202426000_B0,F_749834_2953130,FEE,22,35.0
230056_899873,2101038000,5737.75571864,City of Boston,Bos_2101038000_B0,F_754776_2952333,FEE,21,35.0
229999_899843,2101052000,7800.92026173,City of Boston,Bos_2101052000_B0,F_754544_2952247,FEE,21,35.0
228192_899143,2205021000,433.59183654,City of Boston,Bos_2205021000_B1,F_748659_2949890,FEE,22,35.0
228390_899306,2205039000,1743.81823218,City of Boston,Bos_2205039000_B0,F_749322_2950466,FEE,22,35.0
228871_899340,2102754000,125.934724,City of Boston,Bos_2102754000_B1,F_750848_2950563,FEE,21,35.0
228488_899220,2205029000,1520.5577173,City of Boston,Bos_2205029000_B0,F_749630_2950195,FEE,22,35.0
228369_899272,2205037000,1561.0620402,City of Boston,Bos_2205037000_B0,F_749246_2950363,FEE,22,35.0
229959_900606,2201810000,22963.9676774,City of Boston,Bos_2201810000_B0,,,,
228432_900001,2202452000,694.78059258,City of Boston,Bos_2202452000_B1,F_749491_2952750,FEE,22,35.0
229983_900150,2101100000,339.06813029,City of Boston,Bos_2101100000_B0,F_754538_2953232,FEE,21,35.0
230063_900008,2100987000,3448.33927331,City of Boston,Bos_2100987000_B0,F_754808_2952781,FEE,21,35.0
228197_900664,2202882000,1608.64708393,City of Boston,Bos_2202882000_B0,F_748676_2954919,FEE,22,35.0
228032_900655,2202896000,929.07644367,City of Boston,Bos_2202896000_B0,F_748138_2954924,FEE,22,35.0
227990_900737,2202818000,1736.1295029,City of Boston,Bos_2202818000_B0,F_747998_2955170,FEE,22,35.0
228178_900483,2202858000,1952.26167545,City of Boston,Bos_2202858000_B0,F_748604_2954347,FEE,22,35.0
228171_900508,2202859000,1534.24643797,City of Boston,Bos_2202859000_B0,F_748604_2954423,FEE,22,35.0
228138_900800,2202795000,1007.03196182,City of Boston,Bos_2202795000_B0,F_748479_2955358,FEE,22,35.0
227848_900565,2202965000,1383.40499621,City of Boston,Bos_2202965000_B0,F_747516_2954596,FEE,22,35.0
228222_900673,2202884000,1521.76848444,City of Boston,Bos_2202884000_B0,F_748757_2954950,FEE,22,35.0
228245_900685,2202886000,1079.45779601,City of Boston,Bos_2202886000_B0,F_748838_2954979,FEE,22,35.0
227628_899292,2205580000,1329.69464018,City of Boston,Bos_2205580000_B0,F_746798_2950435,FEE,22,35.0
227486_899169,2205621000,1884.67075848,City of Boston,Bos_2205621000_B0,F_746346_2950007,FEE,22,35.0
227420_899058,2205652008,2384.15595976,City of Boston,Bos_2205652008_B0,F_746129_2949661,FEE,22,35.0
230626_901028,2201624000,1582.72640119,City of Boston,Bos_2201624000_B0,F_756652_2956120,FEE,22,35.0
230710_900918,2201675000,1434.47917333,City of Boston,Bos_2201675000_B0,F_756925_2955752,FEE,22,35.0
230743_900903,2201677000,3575.86843932,City of Boston,Bos_2201677000_B0,F_757021_2955726,FEE,22,35.0
228081_899136,2205269000,1735.81710894,City of Boston,Bos_2205269000_B0,F_748291_2949916,FEE,22,35.0
228045_898999,2205281000,400.01480876,City of Boston,Bos_2205281000_B1,F_748205_2949432,FEE,22,35.0
228032_899214,2205246000,1293.11604261,City of Boston,Bos_2205246000_B0,F_748142_2950177,FEE,22,35.0
227802_898973,2205267010,6709.92881154,City of Boston,Bos_2205267010_B0,F_747554_2949472,FEE,22,35.0
227358_899257,2205550001,14798.07011738,City of Boston,Bos_2205550001_B7,,,,
230171_899995,2101049000,3094.75656708,City of Boston,Bos_2101049000_B0,F_755163_2952729,FEE,21,35.0
229978_899874,2101070000,3945.73295991,City of Boston,Bos_2101070000_B0,F_754519_2952334,FEE,21,35.0
229662_900258,2101122000,1885.47603467,City of Boston,Bos_2101122000_B0,F_753492_2953593,FEE,21,35.0
230002_900263,2101165000,709.74149756,City of Boston,Bos_2101165000_B0,F_754597_2953626,FEE,21,35.0
228504_900196,2202494000,2169.30355983,City of Boston,Bos_2202494000_B0,F_749672_2953393,FEE,22,35.0
228485_900432,2202517000,1901.05961512,City of Boston,Bos_2202517000_B0,F_749624_2954165,FEE,22,35.0
228529_900074,2202421000,477.9612348,City of Boston,Bos_2202421000_B1,F_749735_2953016,FEE,22,35.0
228402_899967,2202441000,2749.70524724,City of Boston,Bos_2202441000_B0,F_749349_2952637,FEE,22,35.0
230541_900400,2100612010,1440.07287903,City of Boston,Bos_2100612010_B0,F_756376_2954051,FEE,21,35.0
230461_900533,2100517000,1201.45974807,City of Boston,Bos_2100517000_B0,F_756112_2954496,FEE,21,35.0
227973_900732,2202819000,1433.5733102,City of Boston,Bos_2202819000_B0,F_747939_2955159,FEE,22,35.0
